Outreach Channel,Lead Priority,Business Name,Category,Town,Postcode,Mobile (WhatsApp),WhatsApp Link,Landline,Email,Other Emails,Website,Data Confidence,Notes,Record ID
WhatsApp,High,"420 Vape Shop (Town Street, Stanningley)",Vape Shop,Pudsey,LS28 6ES,07551 009824,https://wa.me/447551009824,,,,https://420vapeshop.co.uk/,Medium,"One of 3 stores of the 420 Vape Shop chain (see Tong Street record for company-level notes). Hours: Mon-Fri 10:00-18:30, Sat 10:30-17:00, Sun closed. Store details published on the brand's own contact",WY-0004
WhatsApp,High,KPM Vapes,Vape Shop,Huddersfield,HD5 9AB,07463 530406,https://wa.me/447463530406,,kpmvapes@outlook.com,,,Medium,"Second branch at 289 Tong Street, Bradford BD4 9QS (outside Kirklees). Email seen in Yellowtom directory listing, not on an owned page, so marked Unverified. Alternative phone 07774 002629 also listed",WY-0015
WhatsApp,High,The Vape Centre (Wetherby),Vape Shop,Wetherby,LS22 6NE,07388 892397,https://wa.me/447388892397,,,,http://www.thevapecentre.co.uk/,Medium,"Second branch at 2 Gillygate, York (The Vape Centre York/Wetherby). Legal name 'Vape Centre Wetherby Ltd' per Cylex listing title - not yet verified at Companies House (CH site blocked by network prox",WY-0031
WhatsApp,Medium,Emporium Vapez,Vape Shop,Dewsbury,WF13 1PU,07375 706970,https://wa.me/447375706970,,,,,Medium,,WY-0083
WhatsApp,Medium,Liquid Mafia The King of Vapes,Vape Shop,Dewsbury,WF13 3ET,07512 340800,https://wa.me/447512340800,,,,,Medium,Open 10:30-22:00 daily. Instagram bio lists an alternative mobile 07746 183134.,WY-0110
WhatsApp,Medium,Mount Vapes,Vape Shop,Halifax,HX3 6EE,07843 846154,https://wa.me/447843846154,,,,https://mountvapes.co.uk/,Medium,Shop in the Boothtown area of Halifax with its own website and Facebook page; street address not obtainable (website fetch blocked by network egress proxy).,WY-0123
WhatsApp,Medium,Sup Mirfield,Convenience Store,Mirfield,,07387 294049,https://wa.me/447387294049,,,,,Low,Address and mobile number taken from the store's own Facebook page details shown in search results; postcode not published.,WY-0157
WhatsApp,Medium,The Shisha Shop Bradford,Smoke / Shisha Shop,Bradford,BD1 5DY,07466 392838,https://wa.me/447466392838,,,,,Medium,Retails AND wholesales shisha products - potential trade buyer. Phone is a WhatsApp number taken from its Instagram profile as summarised in search results.,WY-0160
WhatsApp,Medium,Vape Nation UK,Vape Shop,Huddersfield,HD1 2AZ,07809 655738,https://wa.me/447809655738,,info@vapenationeshop.co.uk,,https://vapenationeshop.co.uk/,Medium,Town-centre store at the arcade entrance on New Street. Own e-shop site vapenationeshop.co.uk found in search results but could not be fetched (proxy blocked).,WY-0174
WhatsApp,Medium,Wigton Cash & Carry (Wigton Distribution),Cash & Carry,Leeds,LS11 5TH,07833 840327,https://wa.me/447833840327,,,,http://wigtonfoodservice.co.uk/,Medium,"Dessert and food wholesaler delivering nationwide; phone numbers from social listings (07833 840327 / 07766 345166), not yet verified against official site. CH number seen in CH search result; CH site",WY-0189
Email,High,1865 Cigars (Huddersfield),Tobacco Specialist,Huddersfield,HD1 2PY,,,01484 530457,sales@1865cigars.com,sales@1865cigars.com,https://1865cigars.com/,Medium,"Yorkshire/North West cigar retail group with location pages for Sheffield, Manchester, Pudsey, Rotherham, Oldham and Halifax as well as Huddersfield; location count approximate from site location page",WY-0001
Email,High,Azeem's Vape Shop,Vape Shop,Keighley,BD21 3LU,,,01535 213920,info@azeemsvapeshop.co.uk,,https://azeemsvapeshop.co.uk/,Medium,"Open 7 days 10am-10pm, 100+ e-liquid flavours. CAUTION: Companies House shows Azeems Vape Shop Ltd (13574720) dissolved 7 July 2026 per search snippet - shop may continue trading under a different ent",WY-0053
Email,High,Barry's Cash & Carry,Cash & Carry,Halifax,HX1 3LN,,,01422 646060,info@cutpricebarrys.co.uk,,http://www.cutpricebarrys.co.uk/,Medium,SIC 46900 non-specialised wholesale trade. CAUTION: Companies House shows 'Active proposal to strike off' and overdue accounts - check current trading/legal status before outreach. Email taken from a ,WY-0059
Email,High,Beer Ritz,Off-Licence,Leeds,LS16 5LX,,,0113 275 3464,sales@beerritz.co.uk,,https://www.beerritz.co.uk/,Medium,Well-known specialist beer shop in Far Headingley with online store; open 12:00-21:00 daily.,WY-0061
Email,High,Best Choice Wholesale,Cash & Carry,Leeds,LS7 1AD,,,0113 531 6345,info@bestchoicewholesale.co.uk,,https://www.bestchoicewholesale.co.uk/,Medium,"Supplies convenience retailers, corner shops, off-licences, pharmacies and market traders. Contact details as published on their own contact-us page (surfaced via search results; direct fetch blocked ",WY-0063
Email,High,Cheapasmokes,Tobacco Specialist,Halifax,HX1 1DZ,,,01422 355554,sales@cheapasmokes.com,,https://www.cheapasmokes.com/pages/cheapasmokes-halifax,Medium,Physical shop inside Halifax Borough Market; part of the Cheapasmokes group which runs several shops plus a national online tobacconist (cheapasmokes.com).,WY-0011
Email,High,Halal Sweets Company,Cash & Carry,Bradford,,,,,support@halalsweetscompany.co.uk,,https://halalsweets.company.site/,Medium,"Family-run Bradford-based wholesaler/distributor, cash & carry and delivery, specialising in halal sweets and snacks. Street address not captured - needs enrichment.",WY-0093
Email,High,Manchester Superstore Bradford,Independent Supermarket,Bradford,BD3 8EX,,,01274 668800,mssbradford01@gmail.com,,https://manchestersuperstores.co.uk/store-locations/manchester-super-stores-in-bradford/,Medium,"Bradford branch of the Manchester Super Stores group (multi-site, has store-locations page on its own website).",WY-0018
Email,High,Martinez Wines,Off-Licence,Ilkley,LS29 9NJ,,,01943 600000,shop@martinez.co.uk,,https://martinez.co.uk/,Medium,Long-established independent wine merchant in Ilkley; listed in the Harpers directory as 'Martinez Fine Wines'. Phone and email as summarised from its own contact page (martinez.co.uk/shop-services/co,WY-0118
Email,High,Ryans The Tobacconist,Tobacco Specialist,Leeds,LS1 6PU,,,0113 242 2585,Ryans.2000@outlook.com,,https://www.ryanstobacconist.co.uk/,Medium,"Described as the sole traditional and modern tobacconist in Leeds, trading for more than 40 years. Email as published on their contact page (surfaced in search results).",WY-0139
Email,High,SMKD,Vape Shop,Halifax,HX1 1DZ,,,,info@smkd.com,,https://smkd.com/vape-shop-locator/smkd-halifax-vape-shop-market-street/,Medium,Address conflict between sources: UK Malls lists 31-32 Market St HX1 1DZ (Borough Market); Yell-sourced listing gives 28 Market St HX1 1PB. One directory snippet suggests the store may now be closed w,WY-0022
Email,High,SMKD,Vape Shop,Hebden Bridge,,,,01274 270303,info@smkd.com,,https://smkd.com/vape-shop-locator/smkd-hebden-bridge-vape-shop-west-end/,Medium,"West Yorkshire vape chain headquartered in Bradford; store described as at the west end of Hebden Bridge between the bridge and the crossroads, offering free same-day delivery locally. Central phone/e",WY-0023
Email,High,SMKD,Vape Shop,Bradford,BD4 8BX,,,01274 270303,info@smkd.com,,https://smkd.com/,Medium,"IMPORTANT: the former SMKD retail chain (operated by Smokers Delight Ltd, with stores in Leeds Central Arcade, Huddersfield 7 High Street HD1 2LT, Wakefield Ridings Centre, Bradford John Street, Shipl",WY-0140
Email,High,SMKD - E Cigarettes and Vape Shop (Wakefield),Vape Shop,Wakefield,WF1 1DS,,,01924 728100,info@smkd.com,,https://smkd.com,Medium,Bradford-headquartered regional vape chain. Former SMKD stores at Carlton Lanes Castleford (WF10 1AD) and 4 Horse Fair Pontefract (WF8 1PD) are reported CLOSED; Wakefield Ridings store remains on the ,WY-0024
Email,High,Sing Kee Foods (Sheepscar),Independent Supermarket,Leeds,LS7 1BA,,,0113 898 0168,wholesale@singkeefoods.co.uk,,https://singkeefoods.co.uk/gb/,Medium,"Main Sheepscar site of Sing Kee Foods, part of the Sing-Ying Group. Companies House number seen in CH search result URL; CH site blocked by proxy so status/registered office not captured.",WY-0026
Email,High,Smoke-King Tobacconist,Tobacco Specialist,Otley,LS21 3EE,,,0113 217 7723,enquiries@smoke-king.co.uk,,https://www.smoke-king.co.uk/,Medium,Founded 1989 as Greens of Leeds on The Headrow; now trades from a showroom at Otley Mills (inside Barber & Bennett) plus a large online store. Showroom open Tue-Sat 11:00-15:00.,WY-0148
Email,High,TB Cash & Carry (Bradford),Cash & Carry,Bradford,BD7 1NH,,,01274 740555,info@tbcashandcarry.co.uk,,https://tbcashandcarry.co.uk/,Medium,"Bradford branch of TB Cash & Carry (2 sites; see Leeds record). Secondary phone 01274 741330. An older directory entry (Gazette directory) lists 30 Summerville Road, Bradford - Yell and TouchBradford ",WY-0029
Email,High,TB Cash & Carry (Leeds),Cash & Carry,Leeds,LS12 6HD,,,0113 245 1454,info@tbcashandcarry.co.uk,,https://tbcashandcarry.co.uk/,Medium,Established 1985; independent cash & carry with stores in Leeds and Bradford. Email info@tbcashandcarry.co.uk appears in the Dun & Bradstreet company profile and business directories (matches own doma,WY-0030
Email,High,Thali Outlet,Cash & Carry,Leeds,LS7 2JD,,,0113 394 8000,sales@thalioutlet.com,sales@thalioutlet.com,https://www.thalioutlet.com/,Medium,Trade counter with showroom and free parking. Company number from Kompass listing (GB08555459) - not verified directly at Companies House (site blocked by proxy).,WY-0158
Email,High,Vaparama (Featherstone),Vape Shop,Featherstone,WF7 5BJ,,,,shop@vaparama.co.uk,,https://www.vaparama.co.uk,Medium,Featherstone branch of the Vaparama chain (HQ Pontefract).,WY-0036
Email,High,Vaparama (Pontefract),Vape Shop,Pontefract,WF8 1AG,,,01977 277170,shop@vaparama.co.uk,,https://www.vaparama.co.uk,Medium,"Established 2014. Yorkshire multi-store chain: Pontefract (HQ/registered office), Wakefield, Featherstone, plus Leeds, Doncaster, Sheffield, Halifax. This is the flagship/registered-office store.",WY-0037
Email,High,Vaparama (Wakefield),Vape Shop,Wakefield,,,,,shop@vaparama.co.uk,,https://www.vaparama.co.uk,Medium,Wakefield branch of the Vaparama chain (HQ Pontefract). Address from vapemaps directory listing of Vaparama Limited store locations; postcode and branch phone not found.,WY-0038
Email,High,Vaperites,Vape Shop,Pontefract,WF8 1PE,,,01977 278484,vaperite@gmail.com,,https://vaperites.co.uk,Medium,Postcode WF8 1PE confirmed from the shop's own Facebook opening-times post. Directly opposite Pontefract bus station area (Horse Fair).,WY-0180
Email,High,Worldwide Foods Bradford (Great Horton Road),Independent Supermarket,Bradford,BD7 4ED,,,01274 572661,info@worldwidefoods.co.uk,,https://worldwidefoods.co.uk/,Medium,Second Bradford store of the Worldwide Foods group. Two phone numbers seen in listings: 01274 572661 and 01274 572673.,WY-0044
Email,Medium,Batley Bargain Centre,Other Relevant Retail,Batley,WF17 5DA,,,01924 475600,javorange@yahoo.co.uk,,https://www.batleybargaincentre.com/,Medium,Own website describes it as a phone and gadget store with a vape shop offer; site fetch blocked by proxy so address/phone not captured.,WY-0060
Email,Medium,Cote Hill Filling Station,Petrol Station / Forecourt,Halifax,HX2 7NB,,,01422 835350,cotehillhalifax@gmail.com,,https://www.cotehillhalifax.co.uk/,Medium,"Independent family forecourt with its own website and Facebook page; open Mon-Sat 06:00-21:00, Sun 07:00-21:00. Website fetch blocked so phone/email not captured.",WY-0077
Email,Medium,FreshCo Wakefield,Independent Supermarket,Wakefield,WF1 4JZ,,,01924 781869,Hoa1@hotmail.co.uk,,https://freshcowakefield.com,Medium,"Purpose-built store with own car park, open 8am-9pm daily; opened circa late 2022/early 2023. Owner opened his first supermarket in London before Wakefield.",WY-0086
Email,Medium,Javid Supermarket,Independent Supermarket,Huddersfield,HD1 6EQ,,,01484 517411,contact@javidsupermarket.co.uk,,https://www.javidsupermarket.co.uk/,Medium,"Address and phone cross-checked across Yelp, Britainfirm and own-site contact page surfaced in search results.",WY-0100
Email,Medium,Kasa Beeston Convenience Store,Convenience Store,Leeds,LS11 7DJ,,,0113 277 5757,info@kasabeeston.com,,https://kasabeeston.com/,Medium,"Open 24/7; cash machine, halal deli counter, delivery offered.",WY-0102
Email,Medium,Latitude Wine & Liquor Merchant,Off-Licence,Leeds,LS2 7EB,,,0113 245 3393,sales@latitudewine.co.uk,,https://latitudewine.co.uk/,Medium,Independent city-centre wine and spirits merchant; Mon-Sat 10:00-19:00.,WY-0108
Email,Medium,Pakeezah Superstore,Independent Supermarket,Bradford,BD3 9UD,,,01274 739500,info@pakeezah.com,,https://www.pakeezah.com/,Medium,"Well-known Bradford Asian superstore, open daily 9am-9pm. Address and phone consistent across Thomson Local, Yelp and Hotfrog.",WY-0130
Phone (landline),High,"420 Vape Shop (Leeds Road, Shipley)",Vape Shop,Shipley,BD18 1EA,,,01274 011507,,,https://420vapeshop.co.uk/,Medium,"One of 3 stores of the 420 Vape Shop chain (see Tong Street record for company-level notes). Hours: Mon-Fri 08:00-19:00, Sat 09:00-17:00, Sun closed. Store details published on the brand's own contact",WY-0002
Phone (landline),High,"420 Vape Shop (Tong Street, Bradford)",Vape Shop,Bradford,BD4 6HD,,,01274 962277,,,https://420vapeshop.co.uk/,Medium,"3-store West Yorkshire vape chain (2x Bradford, 1x Pudsey/Leeds). Award-winning store per directory listing. A related entity '420 VAPE WHOLESALE LTD' (Companies House no. 14931262, 100 Rock Hill Lane",WY-0003
Phone (landline),High,Abu Bakr Supermarket (Batley),Independent Supermarket,Batley,WF17 8FU,,,01924 950730,,,https://www.abubakrgroup.com/,Medium,"12,000 sq ft flagship store opened October 2024 in a custom-renovated unit at Blakeridge Mill Shopping Centre with own customer parking (WF17 area - full postcode not confirmed, left blank). Operated ",WY-0006
Phone (landline),High,C.Gars Leeds (Dominique London),Tobacco Specialist,Leeds,LS1 6LQ,,,0113 244 5556,,,https://www.cgarsltd.co.uk/,Medium,"Havana Cigar Specialist boutique in Thornton's Arcade with sampling lounge and client lockers; part of the Dominique London / C.Gars group of cigar boutiques (UK-wide chain, so head office is not loca",WY-0012
Phone (landline),High,Ecig N Vape South Elmsall,Vape Shop,South Elmsall,WF9 2RJ,,,01977 647267,,,,Medium,Facebook posts announce a second 'Woodlands' shop at 256 Great North Road (Woodlands is over the Doncaster border - outside this batch's district). Companies House number found via search; full CH rec,WY-0013
Phone (landline),High,Parfetts Cash & Carry (Halifax),Cash & Carry,Halifax,HX3 6RA,,,01422 363167,,,https://www.parfetts.co.uk/,Medium,"West Yorkshire (Calderdale) depot of A G Parfett & Sons Ltd (Parfetts), the employee-owned regional wholesaler headquartered in Stockport with multiple depots across the North of England - only the Ha",WY-0005
Phone (landline),High,WOW Vape (Castleford),Vape Shop,Castleford,WF10 1BA,,,01977 516062,,,https://wow-vape.co.uk,Medium,Yelp shows an older WOW Vape listing at 42 Carlton St marked CLOSED and a current listing at 45 Carlton Street; the 45 Carlton Street listing and active Facebook/Instagram pages suggest the shop reloc,WY-0039
Phone (landline),High,We Are Vapes,Vape Shop,Bradford,BD4 9QJ,,,01274 270773,,,https://www.wearevapes.com/,Medium,"West Yorkshire vape specialist with three Bradford branches (Tong Street, High Street Wibsey, Killinghall Road). Official site wearevapes.com confirmed in search results; direct fetch blocked by netwo",WY-0041
Phone (landline),High,We Are Vapes,Vape Shop,Bradford,,,,01274 634327,,,https://www.wearevapes.com/,Medium,Wibsey branch of the 3-store We Are Vapes group. Phone listed against this branch in directory results.,WY-0042
Phone (landline),Medium,BGC Wholesale,Cash & Carry,Bradford,BD4 6SE,,,01274 651059,,,https://bgcwholesale.com/locations/bradford,Medium,Supplies independent retailers with cards/gifts at competitive prices. Recent listings show a rebrand to 'Tiger Feet Limited (previously BGC Wholesale)' - confirm current trading name. Linked historic,WY-0055
Phone (landline),Medium,Big D Vapes,Vape Shop,Slaithwaite,HD7 5LU,,,01484 843253,,,,Medium,"Serves Colne Valley villages (Slaithwaite, Marsden, Linthwaite, Meltham) per its Facebook posts. A Tripadvisor listing also shows a Big D Vapes in Holmfirth; not separately confirmed so only the Slait",WY-0064
Phone (landline),Medium,Bingley Vape Shop,Vape Shop,Bingley,BD16 2JA,,,01535 213290,,,,Medium,Registered office matches the shop address (per Companies House search snippet). Phone taken from search-result summary of its Facebook/directory listing - confirm before use.,WY-0065
Phone (landline),Medium,Caspar's Bottle Shop,Off-Licence,Leeds,LS7 3LW,,,0113 237 4554,,,https://www.casparsbottleshop.com/,Medium,"Chapel Allerton's independent craft beer shop; open Tue-Sat 12:30-20:00, Sun 12:30-16:00.",WY-0073
Phone (landline),Medium,Costcutter Wibsey,Convenience Store,Bradford,BD6 1PQ,,,01274 723454,,,https://store-locator.costcutter.co.uk/costcutter-b8ba71542351,Medium,Independently owned Costcutter symbol store in Wibsey; address confirmed via Costcutter store locator and local directory listings.,WY-0076
Phone (landline),Medium,Ecig N Vape,Vape Shop,Heckmondwike,WF16 0EU,,,01924 402342,,,,Medium,,WY-0082
Phone (landline),Medium,FilFoods Filipino Store,Independent Supermarket,Leeds,LS8 5PB,,,0113 440 1031,,,,Medium,"Only Filipino store in Yorkshire; 1,800+ product lines in-store and online; agent for LCC Smallworld money transfer; offers scheduled home delivery.",WY-0084
Phone (landline),Medium,GT News (White Rose Shopping Centre),Newsagent,Leeds,LS11 8LU,,,0113 228 6446,,,http://www.gtnews.co.uk/,Medium,Operates at least two units in the White Rose Shopping Centre (28E Lower Level and U102 Upper Level); multi-site newsagent operator.,WY-0014
Phone (landline),Medium,Glasshoughton Service Station,Petrol Station / Forecourt,Castleford,WF10 4RS,,,01977 278353,,,https://www.nisalocally.co.uk/stores/west-yorkshire/castleford/bp-glasshoughton-ser-st,Medium,"24/7 site near M62 J32/Xscape. FSA register lists the shop as 'Nisa Local @ Speed Petroleum', indicating an independent operator (Speed Petroleum) rather than a BP corporate site. Operator company det",WY-0028
Phone (landline),Medium,House of Vapour,Vape Shop,South Elmsall,WF9 2AL,,,01977 647969,,,https://www.houseofvapour.net,Medium,"Own website (houseofvapour.net) describes it as on Barnsley Road, South Elmsall, specialising in luxury e-cigarette products. Site could not be fetched (egress blocked) so street number/phone/email no",WY-0097
Phone (landline),Medium,Londis Normanton (313 Castleford Road),Convenience Store,Normanton,WF6 2HL,,,01924 892113,,,https://www.londis.co.uk/our-stores/londis-normanton,Medium,"Independently owned symbol-group store. NOTE: a second Londis store page exists for Castleford Road, Normanton WF6 2DW (separate record) - both appear on the Londis official store finder with differen",WY-0113
Phone (landline),Medium,"Londis Normanton (Castleford Road, WF6 2DW)",Convenience Store,Normanton,WF6 2DW,,,01924 890438,,,https://www.londis.co.uk/our-stores/normanton,Medium,Independently owned symbol-group store. Listed on the Londis official store finder separately from the 313 Castleford Road WF6 2HL store; different postcode and phone. Flag for dedupe check on merge.,WY-0114
Phone (landline),Medium,Londis Ravensthorpe,Convenience Store,Dewsbury,WF13 3JE,,,01924 461300,,,https://www.londis.co.uk/our-stores/londis-ravensthorpe,Medium,"Independently owned store under the Londis fascia, listed on the official Londis store locator for Ravensthorpe, Dewsbury; street address not captured (page fetch blocked).",WY-0115
Phone (landline),Medium,Manchester Superstore (Wakefield),Independent Supermarket,Wakefield,WF1 4NL,,,01924 369105,,,https://manchestersuperstores.co.uk/store-locations/manchester-super-stores-in-wakefield/,Medium,"Wakefield branch of the award-winning Manchester Super Stores group (BBC Food & Farming Awards, Asian Food & Restaurant Awards). Own dedicated store page on group website. Full Companies House record ",WY-0017
Phone (landline),Medium,Mister Motivaper,Vape Shop,Pontefract,,,,01274 987430,,,,Low,"Next door to Vaperites on Horse Fair. Listed phone is a Bradford (01274) number, suggesting possible link to a Bradford-based operator - unconfirmed.",WY-0121
Phone (landline),Medium,Mullaco (Batley),Independent Supermarket,Batley,WF17 7PJ,,,01924 939128,,,https://mullaco.co.uk/,Medium,Batley branch of the Mullaco world foods group (parent record: Mullaco Supermarket Dewsbury).,WY-0019
Phone (landline),Medium,Mullaco Supermarket (Dewsbury),Independent Supermarket,Dewsbury,WF12 0AA,,,01924 465909,,,https://mullaco.co.uk/,Medium,"Family-run world foods group with stores in Dewsbury, Batley and a Dewsbury minimarket; head office listed as 7 Wellington Street, Batley WF17 5BH (ZoomInfo). Own website mullaco.co.uk could not be fe",WY-0021
Phone (landline),Medium,Nisa Local Knottingley,Convenience Store,Knottingley,WF11 0QH,,,01977 607202,,,https://www.nisalocally.co.uk/stores/west-yorkshire/knottingley,Medium,Independently owned Nisa symbol store; also appears on the official Nisa Locally store finder for Knottingley.,WY-0125
Phone (landline),Medium,Notay Convenience Store (Premier),Convenience Store,Batley,WF17 8JD,,,01924 471483,,,https://www.premier-stores.co.uk/our-stores/notay-convenience-store,Medium,Independently owned store trading under the Premier fascia; listed on the official Premier Stores locator.,WY-0127
Phone (landline),Medium,Phoenix Filling Station,Petrol Station / Forecourt,Bradford,BD7 1JT,,,01274 721896,,,,Medium,Independently owned limited company operating a BP-branded 24/7 forecourt with well-stocked shop near the university quarter.,WY-0132
