Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
East Midlands,Vape Shop,Medium,The Quirky Gift & Vape Shop,Alfreton,Derbyshire,DE55 7BE,01773 461379,,Medium,UK-001634
East Midlands,Vape Shop,Medium,Lincolnshire Vapours (The Vape Store Boston),Boston,Lincolnshire,PE21 6DY,01205 362641,https://lincolnshirevapours.co.uk/,Medium,UK-001582
East Midlands,Vape Shop,Medium,Eco Vape Bulwell (Wholesale),Bulwell,Nottinghamshire,NG6 8AH,01773 687259,,Medium,UK-001420
East Midlands,Vape Shop,Medium,Vape Shop Outlet - Buxton,Buxton,Derbyshire,SK17 6BZ,01298 608956,https://www.vapeshop.co.uk/pages/vape-shop-outlet-buxton,Medium,UK-001499
East Midlands,Vape Shop,Medium,Vaperz Cave,Chesterfield,Derbyshire,S41 7JH,01246 550060,http://vaperzcave.co.uk/,Medium,UK-001663
East Midlands,Vape Shop,Medium,The Vape House Daventry,Daventry,Northamptonshire,NN11 4BG,01327 438184,,Medium,UK-001637
East Midlands,Vape Shop,Medium,E-Liquid Paradise,Derby,Derbyshire,DE22 3FS,01332 970418,,Medium,UK-001556
East Midlands,Vape Shop,Medium,The VapeBox,Derby,Derbyshire,,01332 987474,,Medium,UK-001642
East Midlands,Vape Shop,Medium,Cram Vape Gainsborough,Gainsborough,Lincolnshire,DN21 2JH,01427 616239,https://www.cramvape.co.uk/,Medium,UK-001411
East Midlands,Vape Shop,Medium,888 Vapour Grantham,Grantham,Lincolnshire,NG31 6EE,01476 978200,,Low,UK-001392
East Midlands,Vape Shop,Medium,Juice-E-Vaporium,Grantham,Lincolnshire,NG31 6LH,01476 576525,https://juiceevaporium.co.uk/,Medium,UK-001579
East Midlands,Vape Shop,Medium,Exceptional Vapes Ltd,Heanor,Derbyshire,DE75 7QG,01773 688540,,Medium,UK-001563
East Midlands,Vape Shop,Medium,Mister Smoke - Ilkeston,Ilkeston,Derbyshire,DE7 8AP,0115 930 3128,,Medium,UK-001449
East Midlands,Vape Shop,Medium,VPZ Kettering,Kettering,Northamptonshire,NN16 8SY,01536 523895,https://www.vpz.co.uk/,Medium,UK-001497
East Midlands,Vape Shop,Medium,Vape Junkies Ltd,Kettering,Northamptonshire,NN16 8JH,01536 523634,,Medium,UK-001657
East Midlands,Vape Shop,Medium,Vape Shop Outlet Kettering,Kettering,Northamptonshire,NN16 8SX,01536 217145,https://www.vapeshop.co.uk/pages/vape-shop-outlet-kettering,Medium,UK-001659
East Midlands,Vape Shop,High,Ecigwizard Leicester Forest East,Leicester,Leicestershire,LE3 3JT,0116 464 8804,https://www.ecigwizard.com/pages/ecigwizard-leicester-forest,Medium,UK-001417
East Midlands,Vape Shop,Medium,Flawless Vape Shop - Beaumont Leys,Leicester,Leicestershire,LE4 1BF,0116 234 4820,https://www.flawlessvapeshop.co.uk/pages/flawless-vape-shop-in-leicester-beaumont-leys,Medium,UK-001428
