Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
East of England,Vape Shop,Medium,Bedford Vapes,Bedford,Bedfordshire,MK42 0PS,01234 384738,,Medium,UK-001915
East of England,Vape Shop,Medium,Vaperz,Bedford,Bedfordshire,MK40 1LD,01234 211750,https://vaperz.co.uk/,Medium,UK-002120
East of England,Vape Shop,Medium,Juicy Vapes - Biggleswade,Biggleswade,Bedfordshire,SG18 0LF,01767 318930,,Medium,UK-001982
East of England,Vape Shop,Medium,iVape Bishops Stortford,Bishop's Stortford,Hertfordshire,CM23 3UH,01279 248087,https://ivapestore.co.uk/,Medium,UK-002154
East of England,Vape Shop,Medium,Vapes in the Wood,Borehamwood,Hertfordshire,WD6 2DA,020 3620 1197,https://www.vapesinthewood.co.uk/,Medium,UK-002123
East of England,Vape Shop,High,Rejuiced Vape Shop Shenfield,Brentwood,Essex,CM15 8PA,01702 596968,https://rejuiced.com/vape-shop-shenfield,Medium,UK-001816
East of England,Vape Shop,Medium,VPZ Brentwood,Brentwood,Essex,CM14 4AB,01277 216028,,Low,UK-001867
East of England,Vape Shop,High,VapeGen Brentwood,Brentwood,Essex,CM14 4RX,01277 525400,https://www.vapegen.co.uk/,Low,UK-001891
East of England,Vape Shop,Medium,Ecigwizard Cambridge,Cambridge,Cambridgeshire,CB1 3NF,01223 246887,https://www.ecigwizard.com/pages/ecigwizard-cambridge,High,UK-001709
East of England,Vape Shop,Medium,Vaping Liquid,Cambridge,Cambridgeshire,CB4 1EG,01223 350042,,Medium,UK-002126
East of England,Vape Shop,Medium,iVape Cambridge,Cambridge,Cambridgeshire,,01223 359795,https://ivapestore.co.uk/stores/ivape-cambridge,Low,UK-002155
East of England,Vape Shop,Medium,Personal Vapour Chelmsford,Chelmsford,Essex,CM2 0JA,01245 490741,https://personalvapour.co.uk/,Medium,UK-002015
East of England,Vape Shop,High,VapeGen Chelmsford,Chelmsford,Essex,CM1 1XE,01245 697040,https://www.vapegen.co.uk/,Medium,UK-001892
East of England,Vape Shop,Medium,VPZ Clacton-on-Sea,Clacton-on-Sea,Essex,CO15 1QE,01255 425985,,Medium,UK-001868
East of England,Vape Shop,High,Vaporever Clacton on Sea,Clacton-on-Sea,Essex,CO15 1QR,01255 689777,https://vaporever.co.uk/vaporever-clacton-on-sea-28-c.asp,Medium,UK-001896
East of England,Vape Shop,Medium,Eco Vape Colchester,Colchester,Essex,CO1 1JQ,01206 578830,https://www.eco-vape.co.uk/stores/vape-shop-colchester/,Medium,UK-001712
East of England,Vape Shop,High,Vape and Juice North Essex (VapeChester),Colchester,Essex,CO1 2XL,01206 693010,https://vapeandjuice.co.uk/pages/vapechester,Medium,UK-001888
East of England,Vape Shop,Medium,Vaping Not Smoking,Dunstable,Bedfordshire,LU6 1TA,01582 690771,https://www.vapingnotsmoking.com/,Medium,UK-002128
East of England,Vape Shop,Medium,Time2Vape Ely,Ely,Cambridgeshire,CB7 4NZ,01353 967270,https://www.time2vape.co.uk/,High,UK-002083
East of England,Vape Shop,High,I Love Vapour - Flitwick,Flitwick,Bedfordshire,MK45 1DP,01525 839215,https://www.ilovevapour.com/,Medium,UK-001740
East of England,Vape Shop,Medium,Essex E-Cig Store,Harlow,Essex,CM18 7BL,01279 444247,,Low,UK-001955
East of England,Vape Shop,Medium,Ubervape,Harlow,Essex,CM19 5AF,01279 439602,https://ubervape.co.uk/,Low,UK-002088
East of England,Vape Shop,Medium,Time 2 Vape Huntingdon,Huntingdon,Cambridgeshire,PE29 3AQ,01480 459157,,Medium,UK-002080
East of England,Vape Shop,High,I Love Vapour - Kempston,Kempston,Bedfordshire,MK42 7AZ,01525 714001,https://www.ilovevapour.com/,Medium,UK-001741
East of England,Vape Shop,Medium,Ecigwizard King's Lynn,King's Lynn,Norfolk,PE30 1BE,01553 604825,https://www.ecigwizard.com/,Low,UK-001711
East of England,Vape Shop,High,I Love Vapour - Leighton Buzzard,Leighton Buzzard,Bedfordshire,LU7 1HG,01525 714001,https://www.ilovevapour.com/,Medium,UK-001742
East of England,Vape Shop,Medium,Old Smoke Vapes,Leighton Buzzard,Bedfordshire,LU7 1DH,01525 377716,,Medium,UK-002009
East of England,Vape Shop,High,Vape Town - Leighton Buzzard,Leighton Buzzard,Bedfordshire,LU7 1EN,01525 375503,https://www.vapetown.co.uk/,Medium,UK-001882
East of England,Vape Shop,Medium,The Vape Shed Loughton,Loughton,Essex,IG10 3SP,020 8508 9608,https://thevapeshed.co.uk/,Medium,UK-002071
East of England,Vape Shop,High,Totally Wicked Loughton,Loughton,Essex,IG10 1AD,020 8508 8211,https://www.totallywicked-eliquid.co.uk/stores/loughton-e-cigs-e-liquid-shop,Medium,UK-001862
East of England,Vape Shop,Medium,VPZ Lowestoft,Lowestoft,Suffolk,NR32 1LS,01502 564026,,Medium,UK-001869
East of England,Vape Shop,High,I Love Vapour - Luton,Luton,Bedfordshire,LU1 2TP,01582 726137,https://www.ilovevapour.com/,Medium,UK-001743
East of England,Vape Shop,Medium,Go Vape Maldon,Maldon,Essex,CM9 5BS,01621 854111,,Low,UK-001969
East of England,Vape Shop,High,The Vape Hut Maldon,Maldon,Essex,CM9 5EP,01621 466996,https://vapehutmaldon.co.uk/,Medium,UK-002069
East of England,Vape Shop,High,SmokShop Norwich,Norwich,Norfolk,NR2 1DS,01603 631120,https://www.smokshop.com/,Medium,UK-001827
East of England,Vape Shop,High,Central Vape Shop,Peterborough,Cambridgeshire,PE1 1LT,01733 214213,https://www.centralvapeshop.co.uk/,Medium,UK-001697
East of England,Vape Shop,Medium,Phoenix Electronic Cigarettes (Broadway),Peterborough,Cambridgeshire,PE1 1RS,01733 343606,,Medium,UK-002017
East of England,Vape Shop,High,Vape Myst,Peterborough,Cambridgeshire,PE1 3SJ,01733 302138,https://www.vapemyst.com/,High,UK-001876
East of England,Vape Shop,High,Vape Myst,Peterborough,Cambridgeshire,,01733 302138,https://www.vapemyst.com/pages/vape-shop-stanground,Medium,UK-001877
East of England,Vape Shop,High,Vape and Juice Rayleigh,Rayleigh,Essex,SS6 7QA,01268 906070,https://vapeandjuice.co.uk/pages/rayleigh-vape-shop,Medium,UK-001889
