Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
London,Vape Shop,Medium,Smoketronics Vape & Coffee Shop,Croydon,Greater London,CR0 6RD,020 8656 6683,,Medium,UK-000660
London,Vape Shop,Medium,Hayes Vapes,Hayes,Greater London,UB3 4BX,020 3261 2053,,Medium,UK-000613
London,Vape Shop,Medium,Camden Vape,London,Greater London,NW1 8AG,0333 305 2822,,Low,UK-000590
London,Vape Shop,Medium,Eliquid Base (Kentish Town),London,Greater London,NW1 8NH,020 3475 6519,,Medium,UK-000601
London,Vape Shop,Medium,UK E-Cig Store (Camden High Street),London,Greater London,NW1 7JL,020 7388 8704,,Medium,UK-000562
London,Vape Shop,Medium,Vape Superstore Soho,London,Greater London,W1D 7PG,020 7287 4524,,Medium,UK-000564
London,Vape Shop,Medium,Vapecore (Ladbroke Grove),London,Greater London,W11 3BG,0333 305 2822,,Low,UK-000677
London,Vape Shop,Medium,myCigara - Holborn (Theobald's Road),London,Greater London,WC1X 8SP,020 7242 0800,https://www.mycigara.com/,Medium,UK-000566
London,Vape Shop,Medium,Blowers Vape Shop Ltd,Uxbridge,Greater London,UB8 1LG,01895 254502,,Medium,UK-000585
London,Vape Shop,Medium,Vape Inc,Walthamstow,Greater London,E17 4PG,020 8521 9004,,Medium,UK-000674
London,Vape Shop,Medium,Vape Superstore (Walthamstow),Walthamstow,Greater London,E17 7JR,020 8520 5777,,Medium,UK-000563
London,Smoke / Shisha Shop,Medium,Al Shishawi,London,Greater London,W2 2HZ,020 7262 6212,,Low,UK-000572
London,Tobacco Specialist,High,C.Gars Ltd - St James's,London,Greater London,SW1A 1HA,020 7930 7095,https://www.cgarsltd.co.uk/,Medium,UK-000548
London,Tobacco Specialist,High,C.Gars Ltd - The City (Lime Street),London,Greater London,EC3M 7HR,020 3795 5926,https://www.cgarsltd.co.uk/,Medium,UK-000549
London,Tobacco Specialist,High,James J Fox - St James's,London,Greater London,SW1A 1ES,020 7930 3787,https://www.jjfox.co.uk/,Medium,UK-000556
London,Tobacco Specialist,Medium,Sautter Cigars,London,Greater London,W1K 2TW,020 7499 4866,https://sauttercigars.com/,Medium,UK-000655
London,Tobacco Specialist,High,Turmeaus Tobacconist - Mayfair,London,Greater London,W1J 7LB,020 7495 7330,https://www.turmeaus.co.uk/,Medium,UK-000550
London,Off-Licence,Low,Mini Free Off Licence,Bethnal Green,Greater London,E2 0HU,020 8980 4690,,Medium,UK-000636
London,Off-Licence,Low,Tad's Coffee Offie,Bethnal Green,Greater London,E1 4LB,020 7702 8297,,Medium,UK-000663
London,Off-Licence,Low,Bow Off Licence,Bow,Greater London,E3 3PN,020 7538 4695,,Medium,UK-000587
London,Off-Licence,Low,G S Wines,Dagenham,Greater London,RM9 6BU,020 8592 5465,,Medium,UK-000608
London,Off-Licence,Low,Yagmur,Dagenham,Greater London,RM9 4AL,020 8592 1818,,Medium,UK-000690
London,Off-Licence,Low,Dalston Food and Wine,Dalston,Greater London,N16 7XJ,020 7226 1959,,Medium,UK-000593
London,Off-Licence,Low,King Edward Off Licence,Hackney,Greater London,E9 7SF,020 8510 9079,,Medium,UK-000619
London,Off-Licence,Low,Ali's Wine & Grocery,Islington,Greater London,N1 3JP,020 7729 7522,,Medium,UK-000574
London,Off-Licence,Low,Alpha Off Licence,London,Greater London,SE15 4JR,020 7639 5124,,Medium,UK-000576
London,Off-Licence,Low,Best Quality Food & Wines,London,Greater London,SW6 4TJ,020 7352 4083,,Medium,UK-000582
London,Off-Licence,Low,Easy Off Licence (Caledonian Road),London,Greater London,N1 9DP,020 7837 1799,,Low,UK-000598
London,Off-Licence,Low,Eatmore Express,London,Greater London,SW6 4RN,020 7736 0335,,Medium,UK-000599
London,Off-Licence,Low,Fulham Food & Wine,London,Greater London,SW6 6BH,020 7610 0070,,Medium,UK-000607
London,Off-Licence,Medium,Lea & Sandeman - Fulham Road,London,Greater London,SW10 9PR,020 7244 0522,https://www.leaandsandeman.co.uk/,Medium,UK-000557
London,Off-Licence,Medium,Pembridge Food and Wine,London,Greater London,W11 3HQ,020 3092 8444,,Medium,UK-000645
London,Off-Licence,Low,Red Lion Wine,London,Greater London,SE13 6QB,020 8852 5801,,Medium,UK-000648
London,Off-Licence,Low,Rushey Green Food & Wine,London,Greater London,SE6 4AA,020 3632 7442,,Medium,UK-000649
London,Off-Licence,Low,SD Off License,London,Greater London,SW17 7TJ,020 8672 0151,,Medium,UK-000651
London,Off-Licence,Low,The Vintner,London,Greater London,W6 9NT,020 7385 4436,,Medium,UK-000668
London,Off-Licence,Low,Universal Liquor Mart,London,Greater London,SW6 7SX,020 3080 0700,,Medium,UK-000672
London,Off-Licence,Low,Whirly Wines Ltd,London,Greater London,SW17 8QD,020 3489 2242,,Medium,UK-000689
London,Off-Licence,Low,Cobham Food & Wine,Mitcham,Greater London,CR4 3PR,020 8767 8854,,Medium,UK-000591
London,Convenience Store,Low,Mount Superstore,Feltham,Greater London,TW13 6AJ,020 8707 4977,,Medium,UK-000637
London,Convenience Store,Low,AJ Bros Express,London,Greater London,SW17 9NT,020 8251 7848,,Medium,UK-000570
London,Convenience Store,Low,Camberwell Grocery,London,Greater London,SE5 8TR,020 7771 1964,,Medium,UK-000589
London,Convenience Store,Low,First Gear Convenience Store,London,Greater London,SW9 8PQ,020 3633 3986,,Medium,UK-000605
London,Convenience Store,Low,Intcont Food & Wine,London,Greater London,W12 9RA,020 8749 6193,,Medium,UK-000615
London,Convenience Store,Low,Knights Express,London,Greater London,SW17 9JG,020 8947 3299,,Medium,UK-000624
London,Convenience Store,Medium,Londis (Fountayne Road),Stoke Newington,Greater London,N16 7DT,020 8806 5839,,Medium,UK-000558
London,Independent Supermarket,Low,Dostlar Ltd,Harringay,Greater London,N4 1EY,020 8340 9134,,Medium,UK-000596
London,Independent Supermarket,Low,Turkish Food Market,Harringay,Greater London,N4 1EU,020 8340 4547,,Medium,UK-000670
London,Independent Supermarket,Low,Al-Sultan Supermarket,London,Greater London,W2 1EJ,020 7589 8614,,Low,UK-000573
London,Independent Supermarket,Medium,Quality Foods,Southall,Greater London,UB1 1SQ,020 8571 6966,https://www.qualityfoodsonline.com,Medium,UK-000559
London,Independent Supermarket,Low,Jalaram Supermarket,Wembley,Greater London,HA0 4TA,020 8900 1141,,Medium,UK-000616
London,Newsagent,Low,Helena News,Feltham,Greater London,TW13 6AL,020 8572 0227,,Medium,UK-000614
London,Cash & Carry,Medium,All Drinks Cash & Carry Ltd,Southall,Greater London,UB2 5NS,020 8893 6000,https://all-drinks.co.uk,High,UK-000575
London,Cash & Carry,Medium,Prince Cash & Carry Ltd,Southall,Greater London,UB2 4EX,020 8574 0892,https://www.princecashandcarry.com,Medium,UK-000646
London,Cash & Carry,Medium,A Cash & Carry,Upton Park,Greater London,E7 8LH,020 8471 7722,,Medium,UK-000568
London,Cash & Carry,Medium,Ganapathy Cash & Carry,Wembley,Greater London,HA0 4TL,020 8900 0100,,Medium,UK-000610
