Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
North East,Vape Shop,High,Vapour Tech (Alnwick),Alnwick,Northumberland,NE66 1HW,01665 798565,,High,UK-001141
North East,Vape Shop,Medium,Max Vape,Ashington,Northumberland,NE63 0XX,01670 822222,,Medium,UK-001171
North East,Vape Shop,Medium,The Vape Collective,Bedlington,Northumberland,NE22 5UB,01670 826787,,Medium,UK-001197
North East,Vape Shop,Medium,The Vapour Shop (Berwick),Berwick-upon-Tweed,Northumberland,TD15 1BN,01289 298070,https://vapour-shop.com/,High,UK-001127
North East,Vape Shop,Medium,Totally Wicked Bishop Auckland,Bishop Auckland,County Durham,DL14 7EQ,01388 662413,https://www.totallywicked-eliquid.co.uk/stores/totally-wicked-bishop-auckland,Medium,UK-001128
North East,Vape Shop,Medium,Vape'ry,Bishop Auckland,County Durham,DL14 7EH,01388 417020,https://vapery.ltd/,Medium,UK-001205
North East,Vape Shop,Medium,Blyth Vapes,Blyth,Northumberland,NE24 1BE,01670 631670,,Medium,UK-001148
North East,Vape Shop,Medium,Healthier Smoker (Blyth),Blyth,Northumberland,NE24 1LP,01670 365200,,Medium,UK-001087
North East,Vape Shop,Medium,Vapours E-cig and Tobacco Shop,Blyth,Northumberland,NE24 1BQ,01670 355970,,Medium,UK-001213
North East,Vape Shop,Medium,Totally Wicked Consett,Consett,County Durham,DH8 5QJ,01207 500374,https://www.totallywicked-eliquid.co.uk/stores/consett-e-cig-e-liquid-shop,Medium,UK-001129
North East,Vape Shop,Medium,Vuse Inspiration Store Cramlington,Cramlington,Northumberland,NE23 6RT,01670 458228,,Medium,UK-001078
North East,Vape Shop,Medium,Only The Vape - Darlington,Darlington,County Durham,DL3 6JH,01325 241176,https://onlythevape.com/,Medium,UK-001176
North East,Vape Shop,Medium,The Vape Shops,Darlington,County Durham,DL1 1TZ,01325 787571,,Medium,UK-001199
North East,Vape Shop,Medium,VPZ Darlington,Darlington,County Durham,,01325 351911,https://www.vpz.co.uk/,Medium,UK-001137
North East,Vape Shop,Medium,Vape 8,Durham City,County Durham,DH1 4SQ,0191 386 6277,,Medium,UK-001202
North East,Vape Shop,Medium,The Electric Cigarette Shop,Guisborough,Teesside,TS14 6LF,01287 349018,,Medium,UK-001196
North East,Vape Shop,Medium,First Floor Vaporium,Hexham,Northumberland,NE46 1XG,01434 604250,https://www.firstfloorvaporium.com/,High,UK-001165
North East,Vape Shop,Medium,City Vape,Middlesbrough,Teesside,TS1 5ET,01642 230154,,Medium,UK-001154
North East,Vape Shop,Medium,VPZ Morpeth,Morpeth,Northumberland,NE61 1LX,01670 512150,https://www.vpz.co.uk/,Medium,UK-001135
North East,Vape Shop,Medium,Buy Eliquid Vape Shop Byker,Newcastle upon Tyne,Tyne and Wear,NE6 1DP,0191 276 2451,,Low,UK-001004
North East,Vape Shop,High,Escobar Vape Shop,Newcastle upon Tyne,Tyne and Wear,NE4 6TH,0191 500 2067,https://www.escobarvapeshop.co.uk,High,UK-001018
North East,Vape Shop,Medium,The Electric Cigarette Shop (Byker),Newcastle upon Tyne,Tyne and Wear,NE6 1DR,0191 275 9700,,Medium,UK-001054
North East,Vape Shop,Medium,The Vape Shop North Shields,North Shields,Tyne and Wear,NE29 6QR,0191 435 3249,,Medium,UK-001055
North East,Vape Shop,Medium,Vape Superstore Peterlee,Peterlee,County Durham,SR8 2LY,0333 323 7733,,Low,UK-001139
North East,Vape Shop,Medium,Simian Vapes,Redcar,Teesside,TS10 1DY,01642 494888,https://simianvapes.com,Medium,UK-001187
North East,Vape Shop,Medium,Henry's Vapes,South Shields,Tyne and Wear,NE33 4NA,0191 447 1900,,Medium,UK-001028
North East,Vape Shop,Medium,PunkMonkey Vape,South Shields,Tyne and Wear,NE34 0NF,0191 456 8995,,Medium,UK-001048
North East,Vape Shop,High,Totally Wicked,South Shields,Tyne and Wear,NE33 1NF,0191 427 1760,https://www.totallywicked-eliquid.co.uk/stores/south-shields-ecig-store,Medium,UK-000981
North East,Vape Shop,Medium,Tasty Vape Spennymoor,Spennymoor,County Durham,DL16 6JW,01388 213424,https://tasty-vape-spennymoor.ueniweb.com/,Medium,UK-001195
North East,Vape Shop,Medium,Phoenix Vaping,Sunderland,Tyne and Wear,SR5 2AB,0191 516 9317,https://www.phoenixvaping.co.uk/,Medium,UK-001043
North East,Vape Shop,Medium,VapeLocal.com,Sunderland,Tyne and Wear,SR1 3LE,0191 524 0322,,Medium,UK-001064
North East,Vape Shop,Medium,Mass Vapour,Thornaby,Teesside,TS17 9EP,0845 544 2628,,Medium,UK-001170
North East,Vape Shop,Medium,VPZ Thornaby,Thornaby,Teesside,TS17 9FF,01642 761742,https://www.vpz.co.uk,Medium,UK-001136
North East,Vape Shop,Medium,Uptons Vapourium,Wallsend,Tyne and Wear,NE28 6RA,0191 263 9730,,Medium,UK-001056
North East,Vape Shop,Medium,Vape With Us Wallsend,Wallsend,Tyne and Wear,NE28 8PQ,0191 447 9496,https://vapewithus.co.uk/,Medium,UK-000993
North East,Vape Shop,Medium,Vapour Street,Wallsend,Tyne and Wear,NE28 7RP,0191 649 8416,,Medium,UK-001067
North East,Vape Shop,Medium,ECiggy UK,Washington,Tyne and Wear,NE38 7RT,0191 417 6555,,Medium,UK-001017
North East,Smoke / Shisha Shop,Medium,Mist Lounge,Middlesbrough,Teesside,TS5 6AB,01642 822020,https://mistmiddlesbrough.co.uk,Medium,UK-001174
North East,Tobacco Specialist,High,The Cheap Tab Shop,Newcastle upon Tyne,Tyne and Wear,NE1 5QQ,0191 261 5312,https://www.cheapasmokes.com/pages/the-cheap-tab-shop,Medium,UK-000954
North East,Off-Licence,Low,Beaumonts,Bishop Auckland,County Durham,DL14 6BJ,01388 603139,,Low,UK-001145
