Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
North West,Vape Shop,Medium,Choppa Vapes HQ,Accrington,Lancashire,BB5 1SA,01254 723931,,High,UK-000858
North West,Vape Shop,High,The Vapour Bar,Barrow-in-Furness,Cumbria,LA14 1PN,01229 836855,https://thevapourbar.co.uk/pages/barrow-in-furness-store,High,UK-000978
North West,Vape Shop,Medium,Gorilla Vapour,Blackburn,Lancashire,BB1 1JF,01254 460017,,Medium,UK-000890
North West,Vape Shop,Medium,Ecig Switch,Blackpool,Lancashire,FY1 2JL,01253 596106,,Medium,UK-000887
North West,Vape Shop,Medium,The Vape Store Blackpool,Blackpool,Lancashire,FY3 9AN,01253 987858,,Medium,UK-000928
North West,Vape Shop,Medium,Vapourecigs,Blackpool,Lancashire,FY4 2JE,01253 407498,,Medium,UK-000937
North West,Vape Shop,Medium,eQuit.it Horwich,Bolton,Greater Manchester,BL6 7AD,01204 694112,,Low,UK-000418
North West,Vape Shop,Medium,Electro Vapors,Bootle,Merseyside,L20 3ER,0151 922 3994,,Medium,UK-000770
North West,Vape Shop,Medium,JK's E-Cig Warehouse,Bootle,Merseyside,L20 4XX,0151 345 1171,,Low,UK-000786
North West,Vape Shop,Medium,Next Day Vapes,Burnley,Lancashire,BB11 3AA,0844 351 0283,,Medium,UK-000908
North West,Vape Shop,Medium,Vampire Vape Burnley,Burnley,Lancashire,BB11 1TQ,01282 456694,,Medium,UK-000930
North West,Vape Shop,Medium,Premier Vapes,Chester,Cheshire,CH1 3JJ,01244 311564,,Medium,UK-000914
North West,Vape Shop,Medium,The E-Cig & CBD Store Chester,Chester,Cheshire,CH1 3JS,01625 618618,,Low,UK-000924
North West,Vape Shop,Medium,Vapour-Hut Chester,Chester,Cheshire,CH1 2LB,01244 292902,,Low,UK-000872
North West,Vape Shop,Medium,Key Vape,Colne,Lancashire,BB8 0RY,01282 861944,,Medium,UK-000900
North West,Vape Shop,Medium,The Vape Alchemist,Crewe,Cheshire,CW1 3HN,01270 368814,,Medium,UK-000926
North West,Vape Shop,Medium,Virgin Vapours,Crosby,Merseyside,L23 2UE,0151 538 3868,,Low,UK-000842
North West,Vape Shop,Medium,Vape Station Darwen,Darwen,Lancashire,BB3 2AA,01254 774775,,Medium,UK-000934
North West,Vape Shop,High,NXT Gen Vapours Denton,Denton,Greater Manchester,M34 3PR,0161 320 8807,https://www.nxtgenvapours.co.uk/,Medium,UK-000312
North West,Vape Shop,Medium,Dragon Vape Leigh,Leigh,Greater Manchester,,0161 723 0064,https://dragonvapeuk.com/,Medium,UK-000354
North West,Vape Shop,Medium,Master Vaper Macclesfield,Macclesfield,Cheshire,SK11 6TJ,01625 616263,,Low,UK-000905
North West,Vape Shop,Medium,Wreckless Vape Co,Macclesfield,Cheshire,SK11 6LB,01625 253211,,Medium,UK-000940
North West,Vape Shop,Medium,All Vapes and Sizes 2 Ltd,Nelson,Lancashire,BB9 8RW,01282 619584,,Medium,UK-000874
North West,Vape Shop,Medium,The Vape Store Oldham,Oldham,Greater Manchester,,0161 258 8289,,Low,UK-000392
North West,Vape Shop,Medium,ECiggy UK,Penrith,Cumbria,CA11 7SY,01768 867081,,Medium,UK-001016
North West,Vape Shop,Medium,"Iblaze Vape (Walkden, Salford)",Salford,Greater Manchester,M28 3AX,0161 222 0708,,Medium,UK-000365
North West,Vape Shop,Medium,Neon Vaperz CBD (Salford),Salford,Greater Manchester,M6 8HA,0161 707 2228,,Low,UK-000376
North West,Vape Shop,High,No-Match Southport (North West Ecigs),Southport,Merseyside,PR8 1AF,01704 807280,https://www.northwestecigs.uk/,Medium,UK-000713
North West,Vape Shop,High,Vapable Southport,Southport,Merseyside,,01704 222999,https://vapable.com/southport-vape-shop/,Low,UK-000741
North West,Vape Shop,Medium,The Vape Hut,St Helens,Merseyside,WA11 0LF,01942 726072,,Low,UK-000826
North West,Vape Shop,High,The Vapour Bar,Ulverston,Cumbria,LA12 7DZ,01229 588222,https://thevapourbar.co.uk/pages/ulverston-store,High,UK-000979
North West,Vape Shop,Medium,WOW Vape & CBD,Ulverston,Cumbria,LA12 7AY,01229 586687,,Medium,UK-001069
North West,Vape Shop,Medium,"NJ Vapes (Urmston, Trafford)",Urmston,Greater Manchester,M41 5AB,0161 376 4170,,Low,UK-000375
North West,Vape Shop,Medium,"The Vape Store (Urmston, Trafford)",Urmston,Greater Manchester,M41 5BG,0161 637 5051,,Low,UK-000390
North West,Vape Shop,Medium,VPZ,Whitehaven,Cumbria,CA28 7JN,01946 693376,,Medium,UK-000986
North West,Vape Shop,Medium,Fuel n Vape,Widnes,Halton,WA8 8QA,0151 423 5914,,Medium,UK-000889
North West,Vape Shop,High,Cloudstix Ashton-in-Makerfield,Wigan,Greater Manchester,WN4 9AG,01942 718289,https://www.cloudstix.com/,Medium,UK-000300
North West,Vape Shop,High,The Vapour Bar,Workington,Cumbria,CA14 2NA,01900 267373,https://thevapourbar.co.uk/,Medium,UK-000980
North West,Vape Shop,Medium,VPZ,Workington,Cumbria,CA14 2AB,01900 511017,,Medium,UK-000987
North West,Smoke / Shisha Shop,Medium,Sky Lounge,Blackburn,Lancashire,BB2 6AE,01254 697308,,Medium,UK-000921
North West,Smoke / Shisha Shop,Medium,Dubai Cafe & Shisha Bar (Rusholme),Manchester,Greater Manchester,M14 5AL,0161 224 9040,,Medium,UK-000356
North West,Smoke / Shisha Shop,Medium,Huqqa Lounge (Rusholme),Manchester,Greater Manchester,,0161 273 6555,,Low,UK-000362
North West,Smoke / Shisha Shop,Medium,Luxury Shisha Lounge (Rusholme),Manchester,Greater Manchester,M14 5SS,0161 249 0077,,Medium,UK-000368
North West,Smoke / Shisha Shop,Medium,Shesha Lounge (Cheetham Hill),Manchester,Greater Manchester,,0161 834 8007,,Medium,UK-000380
North West,Smoke / Shisha Shop,Medium,Two Apples Shisha (Cheetham Hill),Manchester,Greater Manchester,M8 8UT,0161 278 7264,,Low,UK-000397
North West,Smoke / Shisha Shop,Medium,Shisha Cafe Warrington,Warrington,Warrington,WA2 9HE,01925 633003,,Low,UK-000919
North West,Tobacco Specialist,Medium,Brucciani,Carlisle,Cumbria,CA3 8PY,01228 522168,https://www.brucciani-limited.co.uk/,High,UK-001003
North West,Tobacco Specialist,Medium,Hodgson's Newsagents & Tobacconist,Carlisle,Cumbria,CA3 8JF,01228 525385,,Medium,UK-001029
North West,Tobacco Specialist,Medium,Aston's of Manchester,Manchester,Greater Manchester,M2 7EA,0161 832 7895,https://astonsofmanchester.co.uk/,Medium,UK-000341
North West,Off-Licence,Medium,Bargain Booze,Barrow-in-Furness,Cumbria,LA13 9QX,01229 838100,,Medium,UK-000944
North West,Off-Licence,Low,Vish Off Licence Ltd,Bolton,Greater Manchester,BL3 3DJ,01204 418222,,Medium,UK-000412
North West,Off-Licence,Low,M S Lone General Store,Burnley,Lancashire,BB11 2SA,01282 425470,,Medium,UK-000904
North West,Off-Licence,Medium,Bargain Booze Plus,Carlisle,Cumbria,CA1 3QB,01228 594465,,Medium,UK-000947
North West,Off-Licence,Low,Bottoms Up,Liverpool,Merseyside,L4 0UQ,0151 263 3113,,Low,UK-000758
North West,Off-Licence,Low,Grog Shop,Liverpool,Merseyside,L32 0TU,0151 549 1773,,Low,UK-000779
North West,Off-Licence,Low,High Park Off Licence,Liverpool,Merseyside,L8 3UF,0151 475 5764,,Low,UK-000780
North West,Off-Licence,Low,Millstreet Wines,Liverpool,Merseyside,L8 4RD,0151 726 0900,,Low,UK-000802
North West,Off-Licence,Low,North Hill Food & Wines,Liverpool,Merseyside,L8 8AG,0151 727 4254,,Low,UK-000808
North West,Off-Licence,Low,Crown Liquor Store,Macclesfield,Cheshire,SK11 6RY,01625 426606,,Medium,UK-000882
North West,Off-Licence,Medium,Bargain Booze Barrowford,Nelson,Lancashire,BB9 8NG,01282 695497,,Low,UK-000852
North West,Off-Licence,Medium,Bargain Booze Select Convenience Sandbach,Sandbach,Cheshire,CW11 3NG,01270 750162,,Medium,UK-000854
North West,Off-Licence,Medium,Bargain Booze - Lord Street Southport,Southport,Merseyside,,01704 534826,https://branches.bargainbooze.co.uk/southport/597-599-lord-street.html,Medium,UK-000691
North West,Off-Licence,Low,AJ Food & Wine,Stockport,Greater Manchester,SK3 0RH,0161 428 2312,,Low,UK-000335
North West,Off-Licence,Low,Springwater Off Licence,Whitefield,Greater Manchester,M45 7RG,0161 796 2910,,Low,UK-000382
North West,Off-Licence,Medium,Bargain Booze Wigan Lane,Wigan,Greater Manchester,WN1 1XS,01942 829539,,Low,UK-000298
North West,Convenience Store,Medium,SPAR Accrington,Accrington,Lancashire,BB5 1PY,01254 357920,,Medium,UK-000868
North West,Convenience Store,Low,Spring Hill Convenience Store,Accrington,Lancashire,BB5 0EX,01254 238956,,Medium,UK-000922
North West,Convenience Store,Low,Bobbys Convenience Store,Burnley,Lancashire,BB11 4DH,01282 789732,,Medium,UK-000879
North West,Convenience Store,Low,Joyces Convenience Store,Burnley,Lancashire,BB10 1XH,01282 438002,,Medium,UK-000896
North West,Convenience Store,Low,Ruma General Store,Burnley,Lancashire,BB10 4AB,01282 413830,,Medium,UK-000918
North West,Convenience Store,Low,The Local Ramsbottom,Bury,Greater Manchester,BL0 9ND,01706 822265,,Low,UK-000386
North West,Convenience Store,Low,DA Shop,Cheadle,Greater Manchester,SK8 5NW,0161 486 1987,,Low,UK-000350
North West,Convenience Store,Low,Your Local Convenience Store (Eccles),Eccles,Greater Manchester,M30 0ND,0161 707 2863,,Low,UK-000416
North West,Convenience Store,Low,Hyde Convenience Store,Hyde,Greater Manchester,SK14 4PD,0161 368 3057,,Medium,UK-000364
North West,Convenience Store,Medium,SPAR Coopers Lane,Kirkby,Merseyside,L33 7TU,0151 305 6865,,Low,UK-000721
North West,Convenience Store,Low,Holliday's,Liverpool,Merseyside,L33 6XE,0151 546 0738,,Low,UK-000782
North West,Convenience Store,Medium,One Stop Convenience Store - Glovers Brow,Liverpool,Merseyside,L32 2AE,0151 792 5986,,Low,UK-000714
North West,Convenience Store,Low,Skaus Store & Cafe,Liverpool,Merseyside,L18 1LW,0151 733 3673,,Low,UK-000813
North West,Convenience Store,Medium,Go Local Macclesfield,Macclesfield,Cheshire,SK11 6TX,01625 402710,,Medium,UK-000860
North West,Convenience Store,Low,High Bank Convenience Store & Off Licence (Gorton),Manchester,Greater Manchester,M18 8UT,0161 223 5982,,Medium,UK-000360
North West,Convenience Store,Medium,"Nisa Local (Manor Avenue, Sale)",Sale,Greater Manchester,M33 5JS,0161 929 5143,https://www.nisalocally.co.uk/stores/greater-manchester/sale/77-manor-ave-12779146,Medium,UK-000315
North West,Convenience Store,Medium,SPAR Ulverston,Ulverston,Cumbria,LA12 9NR,01229 584134,https://www.spar.co.uk/store-locator/hal29972-spar-ulverston,Medium,UK-000976
North West,Convenience Store,Low,Woodhouse Convenience Store,Whitehaven,Cumbria,CA28 9LL,01946 590741,,Medium,UK-001073
North West,Independent Supermarket,Low,Asia Continental,Blackburn,Lancashire,BB1 6DG,01254 671766,,Medium,UK-000876
North West,Independent Supermarket,Low,Granby Supermarkets,Liverpool,Merseyside,L8 2US,0151 709 7732,,Low,UK-000778
North West,Independent Supermarket,High,Manchester Super Stores (Longsight),Manchester,Greater Manchester,M12 4JJ,0161 721 4495,https://manchestersuperstores.co.uk/,Medium,UK-000310
North West,Independent Supermarket,High,Manchester Super Stores (Rusholme),Manchester,Greater Manchester,M14 5AH,0161 224 5899,https://manchestersuperstores.co.uk/,Medium,UK-000311
North West,Independent Supermarket,Medium,Worldwide Foods (Cheetham Hill),Manchester,Greater Manchester,M8 9JX,0161 740 2690,https://worldwidefoods.co.uk/,Medium,UK-000328
North West,Independent Supermarket,Medium,Worldwide Foods (Longsight),Manchester,Greater Manchester,M13 0QE,0161 256 2985,https://worldwidefoods.co.uk/,Medium,UK-000329
North West,Independent Supermarket,Medium,Worldwide Foods (Rusholme),Manchester,Greater Manchester,M14 4AH,0161 248 6727,https://worldwidefoods.co.uk/,Medium,UK-000331
North West,Independent Supermarket,Low,Pendle Halal Meat,Nelson,Lancashire,BB9 9TG,01282 606669,,Medium,UK-000911
North West,Independent Supermarket,Medium,Al-Rayan Supermarket,Rochdale,Greater Manchester,OL16 1PN,01706 521215,,Medium,UK-000337
North West,Newsagent,Low,Susan's Newsagents & Off Licence,Burnley,Lancashire,BB12 7DA,01282 776082,,Medium,UK-000923
North West,Newsagent,Low,JA and P Airey Newsagents and Gifts,Kendal,Cumbria,LA9 4RA,01539 720781,,Medium,UK-001031
North West,Newsagent,Low,Southdene Newsagents,Liverpool,Merseyside,L32 6QP,0151 549 1663,,Low,UK-000816
North West,Newsagent,Low,T & C Mills Newsagent,Liverpool,Merseyside,L22 9QG,0151 928 5934,,Low,UK-000821
North West,Newsagent,Low,TJ News & Off Licence (Gorton),Manchester,Greater Manchester,M18 7GG,0161 223 3020,,Low,UK-000384
North West,Newsagent,Low,Marple Bridge Stores,Marple,Greater Manchester,SK6 5AA,0161 427 2046,,Medium,UK-000370
North West,Newsagent,Low,Marple News,Marple,Greater Manchester,SK6 6DQ,0161 427 7493,,Medium,UK-000371
North West,Newsagent,Low,Barkway Newsagents (Stretford),Stretford,Greater Manchester,M32 9DX,0161 865 0169,,Medium,UK-000346
North West,Petrol Station / Forecourt,Medium,Texaco Horwich Service Station,Bolton,Greater Manchester,BL6 6DT,01204 667182,,Low,UK-000322
North West,Petrol Station / Forecourt,Medium,"Seedley Road Service Station (Costcutter, Salford)",Salford,Greater Manchester,M6 5WN,0161 737 8126,,Low,UK-000318
North West,Cash & Carry,Medium,A S M Cash & Carry,Ashton-under-Lyne,Greater Manchester,OL6 7DF,0161 339 4744,,Medium,UK-000333
North West,Cash & Carry,Medium,ADZ Food Distribution Ltd,Bolton,Greater Manchester,BL3 6JF,01204 365573,,Low,UK-000334
North West,Cash & Carry,Medium,Draycott Trading Cash & Carry,Bolton,Greater Manchester,BL1 8DS,01204 387779,,Low,UK-000355
North West,Cash & Carry,Medium,Marfast & Co Ltd (Cheetham Hill),Manchester,Greater Manchester,M8 8NN,0161 833 0024,https://marfast.co.uk/,Medium,UK-000369
North West,Cash & Carry,Medium,Asia Continental Retail Wholesale Foodstore,Preston,Lancashire,PR1 1TP,01772 496992,,Medium,UK-000877
North West,Cash & Carry,Medium,Kash & Karry Supplies Ltd,Preston,Lancashire,PR1 7JN,01772 378286,,Medium,UK-000898
