Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
Northern Ireland,Vape Shop,Medium,The Vape Bar - Belfast,Belfast,Belfast,BT9 7EJ,028 9066 9369,https://thevapebar.co.uk/,Medium,UK-002720
Northern Ireland,Vape Shop,High,Total Vapour - Cregagh Road,Belfast,Belfast,BT6 9ET,028 9070 5428,https://www.totalvapour.co.uk/,Medium,UK-002574
Northern Ireland,Vape Shop,Medium,Vapourette,Belfast,Belfast,BT6 8PQ,028 9560 9517,,Low,UK-002756
Northern Ireland,Vape Shop,Medium,Ziggicig - Great Northern Mall,Belfast,Belfast,BT2 7GN,028 9560 7313,https://ziggicig.com/,Medium,UK-002630
Northern Ireland,Vape Shop,High,Total Vapour - Carrickfergus,Carrickfergus,County Antrim,BT38 8AY,028 9335 5369,https://www.totalvapour.co.uk/,Medium,UK-002573
Northern Ireland,Vape Shop,Medium,Cloud Corp Vaping,Coleraine,County Londonderry,BT52 2NR,028 7034 4211,https://www.cloudcorpni.com/,Medium,UK-002653
Northern Ireland,Vape Shop,Medium,Ziggicig - Coleraine,Coleraine,County Londonderry,BT52 1PF,028 9560 7313,https://ziggicig.com/,Low,UK-002629
Northern Ireland,Vape Shop,High,ELQD ECIGS - Cookstown,Cookstown,County Tyrone,BT80 8NX,028 8623 9349,https://elqdecigs.co.uk/,Medium,UK-002505
Northern Ireland,Vape Shop,Medium,The Ciggie Shop,Lisburn,County Antrim,BT28 1XE,028 9267 3122,,Low,UK-002716
Northern Ireland,Vape Shop,Medium,Ziggicig - Lisburn,Lisburn,County Antrim,BT28 1AP,028 9560 7313,https://ziggicig.com/,Medium,UK-002631
Northern Ireland,Vape Shop,High,Walled City Vape - Pump Street,Londonderry,County Londonderry,BT48 6JG,028 7141 4321,https://walledcityvape.com/,Medium,UK-002616
Northern Ireland,Vape Shop,High,Walled City Vape - Spencer Road,Londonderry,County Londonderry,BT48 6AE,028 7134 2547,https://walledcityvape.com/,Medium,UK-002617
Northern Ireland,Vape Shop,High,ELQD ECIGS - Magherafelt,Magherafelt,County Londonderry,BT45 5AF,028 7932 8175,https://elqdecigs.co.uk/,Medium,UK-002507
Northern Ireland,Vape Shop,Medium,Touch of Class Vaping - Newtownards,Newtownards,County Down,BT23 4EU,028 9181 5444,,Low,UK-002730
Northern Ireland,Vape Shop,Medium,Ziggicig - Newtownards,Newtownards,County Down,BT23 4AB,028 9560 7313,https://ziggicig.com/,Low,UK-002632
Northern Ireland,Tobacco Specialist,Medium,Miss Moran (Morans),Belfast,Belfast,BT1 2,028 9024 6826,,Low,UK-002689
Northern Ireland,Off-Licence,Low,Neill Wine - Helen's Bay,Bangor,County Down,BT19 1TN,028 9185 3650,,Low,UK-002692
Northern Ireland,Off-Licence,Medium,Winemark Warren - Bangor,Bangor,County Down,,028 9145 0603,https://winemark.com/,Low,UK-002626
Northern Ireland,Off-Licence,Medium,Winemark - Belmont,Belfast,Belfast,,028 9067 3271,https://winemark.com/,Low,UK-002622
Northern Ireland,Off-Licence,Medium,Winemark - Bloomfield,Belfast,Belfast,,028 9045 4085,https://winemark.com/,Low,UK-002623
Northern Ireland,Off-Licence,Medium,Winemark - Stockmans Lane,Belfast,Belfast,BT9 7JD,028 9068 3081,https://winemark.com/,Medium,UK-002625
Northern Ireland,Off-Licence,Low,KWM Wines & Spirits - Kilkeel,Kilkeel,County Down,BT34 4BH,028 4176 2400,,Low,UK-002678
Northern Ireland,Off-Licence,Medium,Lisburn Wine Flair,Lisburn,County Antrim,BT28 1TW,028 9267 0441,https://wineflair.net/,Low,UK-002618
Northern Ireland,Off-Licence,Medium,Chill Off Licence - Culmore Road,Londonderry,County Londonderry,BT48 8JH,028 7135 7335,,Low,UK-002490
Northern Ireland,Off-Licence,Low,Drink Link - Newry,Newry,County Down,BT35 8DA,028 3026 6110,,Low,UK-002658
