Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
Scotland,Vape Shop,Medium,Scotvapes (George Street),Aberdeen,Aberdeen City,AB25 1EP,01224 465033,https://scotvapes.com/aberdeen/,Medium,UK-002550
Scotland,Vape Shop,Medium,Scotvapes (Holburn Street),Aberdeen,Aberdeen City,AB10 6BT,01224 586452,https://scotvapes.com/,Medium,UK-002551
Scotland,Vape Shop,Medium,VPZ (Aberdeen Union Street),Aberdeen,Aberdeen City,AB11 5BJ,01224 596882,https://www.vpz.co.uk/stores/l/aberdeen/51-union-street/6168734,High,UK-002582
Scotland,Vape Shop,Medium,Vaping 101,Aberdeen,Aberdeen City,AB11 6BR,01224 032542,https://vaping101.co.uk/,High,UK-002753
Scotland,Vape Shop,Medium,Vapourohm Airdrie,Airdrie,North Lanarkshire,ML6 0AA,01236 779111,,Low,UK-000838
Scotland,Vape Shop,Medium,Vapourz Airdrie,Airdrie,North Lanarkshire,ML6 6BU,01236 763833,,Low,UK-000839
Scotland,Vape Shop,Medium,Kilted Vapor,Clydebank,West Dunbartonshire,G81 2TU,0141 952 3687,,Medium,UK-000792
Scotland,Vape Shop,Medium,VPZ Clydebank,Clydebank,West Dunbartonshire,G81 1EA,0141 230 1996,https://www.vpz.co.uk/,Medium,UK-000730
Scotland,Vape Shop,Medium,Coatbridge Vape Shop,Coatbridge,North Lanarkshire,ML5 4EX,01236 437101,,Medium,UK-000764
Scotland,Vape Shop,Medium,Super Vapes Coatbridge,Coatbridge,North Lanarkshire,ML5 3BQ,01236 341834,,Low,UK-000820
Scotland,Vape Shop,Medium,VPZ Cumbernauld,Cumbernauld,North Lanarkshire,G67 1JW,01236 723385,https://www.vpz.co.uk/,Medium,UK-002599
Scotland,Vape Shop,Medium,The Vapour Lounge Dunfermline,Dunfermline,Fife,KY12 7EB,01383 223075,,Low,UK-002726
Scotland,Vape Shop,Medium,VPZ Dunfermline,Dunfermline,Fife,KY12 7JB,01383 871778,https://www.vpz.co.uk/,Medium,UK-000731
Scotland,Vape Shop,Medium,Vapes N Shakes,Dunfermline,Fife,,01383 624763,,Low,UK-000836
Scotland,Vape Shop,Medium,Vapourz Dunfermline,Dunfermline,Fife,KY12 7AT,01383 720335,,Medium,UK-002614
Scotland,Vape Shop,Medium,e-Vapes Dunfermline,Dunfermline,Fife,KY12 7QU,01383 432335,,Low,UK-000849
Scotland,Vape Shop,Medium,Prime Vapour East Kilbride,East Kilbride,South Lanarkshire,G74 1AF,01355 458188,,Medium,UK-000718
Scotland,Vape Shop,Medium,VPZ East Kilbride,East Kilbride,South Lanarkshire,G74 1LJ,01355 231707,https://www.vpz.co.uk/,Medium,UK-000732
Scotland,Vape Shop,Medium,Dr Vapor Edinburgh (Dalry),Edinburgh,City of Edinburgh,EH11 2AY,0131 347 1581,,Medium,UK-000705
Scotland,Vape Shop,Medium,Dr Vapor Edinburgh (Parsons Green),Edinburgh,City of Edinburgh,EH8 7AF,0131 281 2385,,Medium,UK-000706
Scotland,Vape Shop,Medium,Pro Vapor Leith Walk,Edinburgh,City of Edinburgh,EH7 5HN,0131 556 4151,,Medium,UK-000720
Scotland,Vape Shop,Medium,VPZ Leith Walk,Edinburgh,City of Edinburgh,EH7 4PF,0131 561 1300,,Medium,UK-000736
Scotland,Vape Shop,Medium,Vapedrop,Edinburgh,City of Edinburgh,EH6 5HX,0131 281 6507,,Medium,UK-000835
Scotland,Vape Shop,Medium,Scotvapes (Elgin),Elgin,Moray,IV30 1BA,01343 200054,https://scotvapes.com/elgin/,Medium,UK-002549
Scotland,Vape Shop,Medium,VPZ (Elgin),Elgin,Moray,IV30 1BJ,01343 544133,https://www.yelp.com/biz/vpz-elgin-4,Medium,UK-002587
Scotland,Vape Shop,Medium,Emporium Vapour,Falkirk,Falkirk,FK2 7EF,0800 612 7270,,Medium,UK-000774
Scotland,Vape Shop,Medium,Vapourz Falkirk,Falkirk,Falkirk,FK1 1NW,01324 626390,,Medium,UK-000747
Scotland,Vape Shop,High,Vape City,Glasgow,Glasgow City,G20 9AX,0141 946 2117,https://www.vape-city.co.uk/,Medium,UK-000742
Scotland,Vape Shop,Medium,VPZ Grangemouth,Grangemouth,Falkirk,FK3 8AZ,01324 473182,,Medium,UK-000733
Scotland,Vape Shop,Medium,VPZ Greenock,Greenock,Inverclyde,PA15 1UA,01475 648615,https://www.vpz.co.uk/,Medium,UK-002601
Scotland,Vape Shop,Medium,VapourOhm Greenock,Greenock,Inverclyde,PA15 1XP,01475 722109,,Medium,UK-002613
Scotland,Vape Shop,Medium,VPZ Hamilton,Hamilton,South Lanarkshire,ML3 7AU,01698 423137,https://www.vpz.co.uk/,Medium,UK-000734
Scotland,Vape Shop,Medium,e.cig.a.rus Hamilton,Hamilton,South Lanarkshire,ML3 7AR,01698 420068,,Low,UK-000751
Scotland,Vape Shop,Medium,Pencig Vape Shop,Inverness,Highland,IV1 1HN,01463 711191,https://pencig.co.uk/pages/contact/,Medium,UK-002697
Scotland,Vape Shop,High,VPZ (Inverness),Inverness,Highland,IV1 1DY,01463 238672,https://www.vpz.co.uk/stores/l/inverness/7-9-church-street/6168668,High,UK-002590
Scotland,Vape Shop,Medium,Zeus Juice (Inverness),Inverness,Highland,IV1 1HN,01463 211335,,Medium,UK-002627
Scotland,Vape Shop,Medium,VPZ Irvine,Irvine,North Ayrshire,KA12 8AH,01294 287352,https://www.vpz.co.uk/,Medium,UK-002602
Scotland,Vape Shop,Medium,Total Vapes Kilmarnock,Kilmarnock,East Ayrshire,KA1 1QD,01563 549510,,Low,UK-002729
