Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
South East,Vape Shop,Medium,Tidal Vape Andover,Andover,Hampshire,SP10 1NG,023 8000 2422,https://www.tidalvape.co.uk/pages/andover,Medium,UK-002242
South East,Vape Shop,Medium,Ecigwizard - Banbury,Banbury,Oxfordshire,OX16 5JG,01296 326700,https://www.ecigwizard.com/pages/ecigwizard-banbury,Medium,UK-002173
South East,Vape Shop,High,Sky Blue Vape Lounge - Banbury,Banbury,Oxfordshire,OX16 5LG,01295 263772,https://skybluevape.co.uk/store/sky-blue-vape-lounge-banbury/,Medium,UK-002227
South East,Vape Shop,Medium,VPZ Basingstoke,Basingstoke,Hampshire,RG21 7NW,01256 323478,,Medium,UK-002257
South East,Vape Shop,High,Phoenix Vapers - Bicester,Bicester,Oxfordshire,OX26 6JB,01869 360331,https://phoenixeliquid.co.uk/,Medium,UK-002220
South East,Vape Shop,High,MIST Vape Shop,Brighton,East Sussex,BN1 4JN,01273 695593,https://www.misteliquid.co.uk/,Medium,UK-002209
South East,Vape Shop,Medium,The Vapour Room Electronic Cigarettes Burgess Hill,Burgess Hill,West Sussex,RH15 9AE,0300 373 1273,,Low,UK-002436
South East,Vape Shop,Medium,Totally Wicked Burgess Hill,Burgess Hill,West Sussex,RH15 8DN,01444 211178,https://www.totallywicked-eliquid.co.uk/,Low,UK-002251
South East,Vape Shop,Low,The Vape Shop Camberley,Camberley,Surrey,GU15 3SP,01276 66611,,Low,UK-002432
South East,Vape Shop,Medium,Vanilla Vapes,Camberley,Surrey,GU15 3RS,01276 406996,https://vanillavapes.co.uk/about-our-store,Medium,UK-002448
South East,Vape Shop,Medium,TJ's E-Cigarettes Canterbury,Canterbury,Kent,CT1 2DY,01227 787843,,Low,UK-002232
South East,Vape Shop,Medium,The Canterbury Vape,Canterbury,Kent,,01227 634090,https://vapeandjuice.co.uk/pages/the-canterbury-vape,Low,UK-002270
South East,Vape Shop,Medium,Vape Royale Canterbury,Canterbury,Kent,CT1 2BQ,01227 634280,,Low,UK-002454
South East,Vape Shop,Medium,TJ's E-Cigarettes Chatham,Chatham,Kent,ME4 4BQ,01634 843020,,Medium,UK-002233
South East,Vape Shop,Medium,Every Cloud Vape Shop Chichester,Chichester,West Sussex,,01243 696770,,Low,UK-002351
South East,Vape Shop,Medium,Vapestore Chichester,Chichester,West Sussex,PO19 1HX,01243 976987,https://www.vapestore.co.uk/pages/store-locations/vapestore-chichester,Medium,UK-002297
South East,Vape Shop,Medium,Vape Simple Crawley,Crawley,West Sussex,RH10 9RW,01293 265550,,Low,UK-002455
South East,Vape Shop,Medium,All About Da Vape,Deal,Kent,CT14 6AG,01304 389546,,Medium,UK-002312
South East,Vape Shop,Medium,Dorking Vape Store,Dorking,Surrey,RH4 1QR,01306 887420,,Low,UK-002342
South East,Vape Shop,Medium,The Vapeistry Dover,Dover,Kent,CT17 9AF,01304 268919,,Medium,UK-002236
South East,Vape Shop,Medium,Totally Wicked Dover,Dover,Kent,CT16 1EB,01304 201650,,Low,UK-002252
South East,Vape Shop,High,Berkshire Vapers (Earley),Earley,Berkshire,RG6 7DT,0118 327 2829,https://berkshirevapers.net/,High,UK-002162
South East,Vape Shop,Medium,The Vapers Shop East Grinstead,East Grinstead,West Sussex,RH19 1EP,01342 457300,,Medium,UK-002434
South East,Vape Shop,Medium,Vapestore Eastbourne,Eastbourne,East Sussex,BN21 3AJ,01323 402700,https://www.vapestore.co.uk/pages/store-locations/vapestore-eastbourne,Medium,UK-002298
South East,Vape Shop,Medium,Anglo Vapour,Eastleigh,Hampshire,SO50 5RA,023 8061 5692,https://anglovapour.co.uk/,Medium,UK-002316
South East,Vape Shop,Medium,Tidal Vape Eastleigh,Eastleigh,Hampshire,SO50 5RF,023 8114 1354,https://www.tidalvape.co.uk/pages/eastleigh-vape-shop,Medium,UK-002243
South East,Vape Shop,Medium,VAP House,Epsom,Surrey,KT19 8BA,01372 878791,,Medium,UK-002447
South East,Vape Shop,Medium,VPZ Fareham,Fareham,Hampshire,PO16 0EP,01329 237465,,Medium,UK-002258
South East,Vape Shop,Medium,Sweet Cloud Farnborough,Farnborough,Hampshire,GU14 6EJ,01252 543933,,Low,UK-002417
South East,Vape Shop,Medium,Vapella Farnham,Farnham,Surrey,GU9 7RP,01252 940063,https://www.vapella.com/store-finder/vape-shop-in-farham/,Medium,UK-002459
South East,Vape Shop,Medium,VapER+ Fleet,Fleet,Hampshire,GU51 3AB,01252 623497,https://vape-er.co.uk/,Medium,UK-002449
South East,Vape Shop,Medium,Iconic E-Cigarettes,Gillingham,Kent,ME7 1AQ,01634 470197,,Low,UK-002366
South East,Vape Shop,Medium,TJ's E-Cigarettes Gillingham,Gillingham,Kent,ME7 1AU,01634 576176,,Low,UK-002234
South East,Vape Shop,Medium,Vapeez Vape Shop,Gillingham,Kent,ME7 5UG,01634 786868,http://vapeez.co.uk/,Medium,UK-002458
South East,Vape Shop,Medium,VPZ Gosport,Gosport,Hampshire,,023 9258 3705,,Medium,UK-002259
South East,Vape Shop,Medium,TJ's E-Cigarettes Gravesend,Gravesend,Kent,DA11 0AZ,01474 329742,,Low,UK-002235
South East,Vape Shop,Medium,Vapestore Guildford,Guildford,Surrey,GU1 3DN,01483 503941,https://www.vapestore.co.uk/pages/store-locations/vapestore-guildford,Medium,UK-002287
South East,Vape Shop,High,The Vapour Room Hastings,Hastings,East Sussex,TN34 1RE,01424 532882,,Medium,UK-002240
South East,Vape Shop,Medium,QSS Vape Haywards Heath,Haywards Heath,West Sussex,RH16 4LT,01444 410227,,Medium,UK-002391
South East,Vape Shop,High,X Vapes - High Wycombe,High Wycombe,Buckinghamshire,HP11 1EP,0333 224 2240,https://xvapes.co.uk/,High,UK-002311
South East,Vape Shop,Medium,Totally Wicked - Maidenhead,Maidenhead,Berkshire,SL6 1HZ,01628 675572,https://vapemaps.co/england/windsor-and-maidenhead/maidenhead/totally-wicked-e-cigarette-and-e-liquid-shop/9509,Medium,UK-002249
South East,Vape Shop,Medium,Vape 360 Maidenhead (Oryx Vape),Maidenhead,Berkshire,SL6 1LT,01628 304360,,Medium,UK-002451
South East,Vape Shop,High,Vape Town - Stony Stratford,Milton Keynes,Buckinghamshire,MK11 1BD,0333 772 2092,https://www.vapetown.co.uk/pages/vape-town-stony-stratford,Medium,UK-002281
South East,Vape Shop,Medium,Baron Vapes,Newbury,Berkshire,RG14 6QW,01635 729680,,Low,UK-002325
South East,Vape Shop,Medium,VPZ - Newbury,Newbury,Berkshire,RG14 1DT,01635 226637,https://www.vpz.co.uk/stores,Medium,UK-002256
South East,Vape Shop,High,Ape Vapes Newport,Newport,Isle of Wight,PO30 1LQ,01983 532146,https://apevapes.co.uk/,Medium,UK-002160
South East,Vape Shop,High,Oxford Vapours - Headington,Oxford,Oxfordshire,OX3 9ED,01865 751666,https://oxfordvapours.com/,Medium,UK-002217
South East,Vape Shop,Medium,Ecigit Portsmouth,Portsmouth,Hampshire,PO2 9AA,023 9269 5998,,Low,UK-002345
South East,Vape Shop,Medium,There's No Place Like Ohm,Portsmouth,Hampshire,PO6 3DL,023 9232 5581,,Low,UK-002439
South East,Vape Shop,Medium,Vaparettes Ramsgate,Ramsgate,Kent,CT11 8NG,01227 283939,https://vaparettes.co.uk/ramsgate-shop/,Medium,UK-002269
South East,Vape Shop,Medium,Vape Chaos Ramsgate,Ramsgate,Kent,CT11 9AG,01843 584903,https://vapechaos.co.uk/pages/ramsgate,Medium,UK-002452
South East,Vape Shop,Medium,You Vape Ramsgate,Ramsgate,Kent,CT11 9EE,01843 585354,,Low,UK-002476
South East,Vape Shop,High,Vapestore Redhill,Redhill,Surrey,RH1 1RH,01737 301190,https://www.vapestore.co.uk/pages/store-locations/vapestore-redhill,Medium,UK-002291
South East,Vape Shop,High,Vapepit Reigate,Reigate,Surrey,RH2 8AA,01737 233875,https://www.vapepit.co.uk/,Medium,UK-002283
South East,Vape Shop,Medium,Wildfire Vape Sevenoaks,Sevenoaks,Kent,TN13 2BU,01323 920040,https://wildfirevape.co.uk/vape-shop-in-sevenoaks/,Medium,UK-002472
South East,Vape Shop,Medium,The Vaping Shop Sittingbourne,Sittingbourne,Kent,ME10 3TB,01795 432608,https://www.thevaping.shop/,Medium,UK-002435
South East,Vape Shop,Medium,VPZ Sittingbourne,Sittingbourne,Kent,ME10 3DL,01795 439949,,Low,UK-002260
South East,Vape Shop,Medium,Vape Slough,Slough,Berkshire,SL1 4XQ,01753 520051,https://vapeslough.co.uk/,Medium,UK-002456
South East,Vape Shop,Medium,Tidal Vape Portswood,Southampton,Hampshire,SO17 2NJ,023 8057 0928,https://www.tidalvape.co.uk/pages/southampton-totton-eastleigh,Medium,UK-002244
South East,Vape Shop,Medium,Tidal Vape Shirley,Southampton,Hampshire,SO15 3NN,023 8000 2399,https://www.tidalvape.co.uk/pages/southampton-totton-eastleigh,Medium,UK-002245
South East,Vape Shop,Medium,Vapetime Southampton,Southampton,Hampshire,SO15 0HX,01962 890240,https://www.vapetime.co.uk/,Medium,UK-002301
