Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
South West,Vape Shop,Medium,AMB Vapours Barnstaple,Barnstaple,Devon,EX32 7BZ,01271 322999,,Low,UK-001906
South West,Vape Shop,Medium,Vape Shop Barnstaple,Barnstaple,Devon,EX31 1SE,01271 267750,,Medium,UK-002102
South West,Vape Shop,High,Vape Town Barnstaple,Barnstaple,Devon,EX32 7DA,0333 772 2092,https://www.vapetown.co.uk/pages/vape-town-barnstaple,Medium,UK-001884
South West,Vape Shop,Medium,Superior Vapour,Bath,Somerset,BA1 1EQ,01225 420511,https://www.superiorvapour.com/pages/vape-shop-bath,Medium,UK-002044
South West,Vape Shop,Medium,Sacred Vapes Bideford,Bideford,Devon,,01237 422911,,Medium,UK-001822
South West,Vape Shop,Medium,Vape Centre Bodmin,Bodmin,Cornwall,PL31 2JA,01208 76058,https://www.vapecentre.uk/,Medium,UK-002096
South West,Vape Shop,High,Gorilla Vapes,Bridgwater,Somerset,TA6 3NG,01278 448727,https://www.gorillavapes.co.uk/pages/vape-shop-in-bridgwater-somerset,Medium,UK-001737
South West,Vape Shop,Medium,Life's A Drag E-Cigarette Centre,Bridgwater,Somerset,TA6 3NQ,01278 455847,,Low,UK-001989
South West,Vape Shop,Medium,Ecigwizard,Bristol,Bristol,BS16 3UP,0117 992 7967,https://www.ecigwizard.com/pages/ecigwizard-bristol,Medium,UK-001704
South West,Vape Shop,High,My Vape Store,Bristol,Bristol,BS16 3DA,0117 462 2585,https://www.facebook.com/mvsfishponds/,Medium,UK-001769
South West,Vape Shop,Medium,Vapour Days,Bristol,Bristol,BS1 3XD,0117 925 6413,https://www.vapourdays.co.uk/,High,UK-002130
South West,Vape Shop,Medium,Voltage Vapes,Bristol,Bristol,BS14 0LN,01275 217780,https://voltagevapes.co.uk/pages/find-us,High,UK-002137
South West,Vape Shop,Medium,RedJuice,Cheltenham,Gloucestershire,GL51 9FB,01242 312024,https://redjuice.co.uk/find-us.html,Medium,UK-001814
South West,Vape Shop,Medium,The Puffin Hut,Chippenham,Wiltshire,SN15 3HW,01249 657888,https://thepuffinhut.com/pages/vape-shop-chippenham,Medium,UK-001839
