Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
Wales,Vape Shop,High,Deluxe Vape Co Aberdare,Aberdare,Rhondda Cynon Taf,CF44 7DY,01685 267273,https://deluxevape.co/pages/aberdare,Medium,UK-002494
Wales,Vape Shop,High,Air Vape Store Bangor,Bangor,Gwynedd,LL57 1NY,01286 238755,https://airvapestore.com/,Medium,UK-002479
Wales,Vape Shop,Medium,The Smoker's Angel (Barry),Barry,Vale of Glamorgan,CF63 4HD,01792 852843,https://ecigdirectory.co.uk/vape-shop/listing/the-smokers-angel-barry,Medium,UK-002564
Wales,Vape Shop,Medium,Totally Wicked (Barry),Barry,Vale of Glamorgan,CF63 2HP,01446 740864,,Medium,UK-002576
Wales,Vape Shop,Medium,VPZ Barry,Barry,Vale of Glamorgan,CF63 4HE,01446 501257,,Medium,UK-002596
Wales,Vape Shop,Medium,Flavour Vapour (Blackwood),Blackwood,Caerphilly,NP12 1PN,01495 616162,https://ecigdirectory.co.uk/vape-shop/listing/flavour-vapour-blackwood,Medium,UK-002513
Wales,Vape Shop,Medium,Celtic Vapours Bridgend,Bridgend,Bridgend,CF31 3SB,01656 858178,https://celticvapours.com/store-locator/vape-shop-bridgend,Medium,UK-002486
Wales,Vape Shop,Medium,Urban Vaping Bridgend,Bridgend,Bridgend,,01656 768688,,Medium,UK-002737
Wales,Vape Shop,Medium,VPZ Bridgend,Bridgend,Bridgend,CF31 3BL,01656 649306,,Medium,UK-002597
Wales,Vape Shop,High,"The Vape House (Cardiff Road, Caerphilly)",Caerphilly,Caerphilly,CF83 1FQ,029 2086 3037,https://www.thevapehouse.co.uk/pages/vape-shop-caerphilly,Medium,UK-002571
Wales,Vape Shop,Medium,"The Vape House (Piccadilly Square, Caerphilly)",Caerphilly,Caerphilly,CF83 1PB,029 2086 3037,https://www.thevapehouse.co.uk/pages/vape-shop-caerphilly,Medium,UK-002572
Wales,Vape Shop,Medium,Superior Vapour Cardiff,Cardiff,Cardiff,CF24 3RP,029 2065 0129,,Medium,UK-002558
Wales,Vape Shop,Medium,Vape Superstore Cardiff,Cardiff,Cardiff,CF11 8AP,029 2240 0977,,Medium,UK-002608
Wales,Vape Shop,Medium,VPZ Cwmbran,Cwmbran,Torfaen,NP44 1PT,01633 872121,https://www.cwmbrancentre.com/retailers/vpz/,Medium,UK-002600
Wales,Vape Shop,Medium,Vape for Life (Ebbw Vale),Ebbw Vale,Blaenau Gwent,NP23 6HW,01495 222539,https://ecigdirectory.co.uk/vape-shop/listing/vape-for-life-ebbw-vale,Medium,UK-002745
Wales,Vape Shop,Medium,Valley Vapes,Flint,Flintshire,CH6 5NR,01352 763406,,Medium,UK-002738
Wales,Vape Shop,Medium,E-Juice Couture,Holyhead,Isle of Anglesey,LL65 1UD,01407 238008,https://ejuicecouture.co.uk/,Medium,UK-002662
Wales,Vape Shop,High,North Wales Vapour (Llandudno),Llandudno,Conwy,LL30 2TL,01492 330865,,Medium,UK-002537
Wales,Vape Shop,High,Deluxe Vape Co Llanelli,Llanelli,Carmarthenshire,SA14 9UY,01554 899800,https://deluxevape.co/pages/trostre,Medium,UK-002496
Wales,Vape Shop,Medium,Rebel Vaper,Llanelli,Carmarthenshire,SA15 1AW,01554 229046,,Medium,UK-002701
Wales,Vape Shop,Medium,Key Vapours CBD Store (Merthyr),Merthyr Tydfil,Merthyr Tydfil,CF47 8DF,01685 388034,,Medium,UK-002516
Wales,Vape Shop,Medium,Totally Wicked (Merthyr Tydfil),Merthyr Tydfil,Merthyr Tydfil,CF47 8DE,01685 705957,,Medium,UK-002577
Wales,Vape Shop,Medium,Deluxe Vape Co Neath,Neath,Neath Port Talbot,SA11 1RS,01639 642845,,Medium,UK-002497
Wales,Vape Shop,Medium,Vape-It (Neath),Neath,Neath Port Talbot,SA11 1PY,01639 697272,,Medium,UK-002747
Wales,Vape Shop,High,Totally Wicked (Shell Casnewydd Service Station),Newport,Newport,NP19 8BW,01633 263176,https://www.totallywicked-eliquid.co.uk/stores/casnewyddservicestation-newport-ecig-store,Medium,UK-002579
Wales,Vape Shop,High,Superior Vapour Pontypridd,Pontypridd,Rhondda Cynon Taf,CF37 4TD,01443 858283,https://www.superiorvapour.com/pages/vape-shop-pontypridd,Medium,UK-002559
Wales,Vape Shop,Medium,"Celtic Vapours (Fairway, Port Talbot)",Port Talbot,Neath Port Talbot,SA12 7HR,01639 898220,,Medium,UK-002485
Wales,Vape Shop,Medium,The Vape Escape (Port Talbot),Port Talbot,Neath Port Talbot,,01656 530004,,Medium,UK-002569
Wales,Vape Shop,Medium,The Vapour Co.,Port Talbot,Neath Port Talbot,SA13 1PH,01639 897267,,Medium,UK-002725
Wales,Vape Shop,High,Celtic Vapours Swansea,Swansea,Swansea,SA5 8JF,01792 581328,https://celticvapours.com/store-locator/vape-shop-swansea,Medium,UK-002487
Wales,Vape Shop,High,Deluxe Vape Co Fforestfach,Swansea,Swansea,SA5 4BB,01792 220850,https://deluxevape.co/pages/swansea,Medium,UK-002495
Wales,Vape Shop,High,Deluxe Vape Co Swansea (Picton Arcade),Swansea,Swansea,SA1 3BH,01792 447070,https://deluxevape.co/pages/swansea,Medium,UK-002498
Wales,Tobacco Specialist,Medium,The Bear Shop,Cardiff,Cardiff,CF10 1FJ,029 2023 3443,,Medium,UK-002715
Wales,Tobacco Specialist,Medium,W. Walker Tobacconist,Wrexham,Wrexham,LL13 7LL,01978 262961,,Medium,UK-002759
Wales,Off-Licence,Low,Bridgend Booze,Bridgend,Bridgend,CF31 2LL,01656 664225,,Medium,UK-002641
Wales,Off-Licence,Low,Bryntirion Wines Ltd,Bridgend,Bridgend,CF31 4EA,01656 652642,,Medium,UK-002643
Wales,Convenience Store,Medium,Late Stop 24-7 Convenience Store,Bangor,Gwynedd,LL57 2EG,01248 370201,,Medium,UK-002680
Wales,Convenience Store,Medium,"Premier (High Street, Barry)",Barry,Vale of Glamorgan,CF62 7EA,01446 735761,https://www.premier-stores.co.uk/our-stores/high-street-barry,Medium,UK-002540
Wales,Convenience Store,Medium,"The Co-operative Food (Colcot Road, Barry)",Barry,Vale of Glamorgan,CF62 8HJ,01446 739123,,Medium,UK-002491
Wales,Newsagent,Low,Book Corner,Llandudno,Conwy,,01492 875772,,Medium,UK-002639
Wales,Petrol Station / Forecourt,Low,Llansamlet Service Station (Texaco / Nisa Local),Swansea,Swansea,SA7 9BA,01792 447541,,Medium,UK-002682
