Region,Category,Priority,Business Name,Town,County,Postcode,Landline,Website,Data Confidence,Record ID
Yorkshire & Humber,Vape Shop,Medium,Bingley Vape Shop,Bingley,West Yorkshire,BD16 2JA,01535 213290,,Medium,WY-0065
Yorkshire & Humber,Vape Shop,High,Vape Shop Guy Boroughbridge,Boroughbridge,North Yorkshire,,01423 325924,https://vapeshopguy.co.uk/,Medium,UK-000222
Yorkshire & Humber,Vape Shop,High,"420 Vape Shop (Tong Street, Bradford)",Bradford,West Yorkshire,BD4 6HD,01274 962277,https://420vapeshop.co.uk/,Medium,WY-0003
Yorkshire & Humber,Vape Shop,Medium,The Vape Hub,Bradford,West Yorkshire,BD6 3PB,01274 785496,,Medium,WY-0161
Yorkshire & Humber,Vape Shop,High,We Are Vapes,Bradford,West Yorkshire,BD4 9QJ,01274 270773,https://www.wearevapes.com/,Medium,WY-0041
Yorkshire & Humber,Vape Shop,High,We Are Vapes,Bradford,West Yorkshire,,01274 634327,https://www.wearevapes.com/,Medium,WY-0042
Yorkshire & Humber,Vape Shop,Medium,A Touch of Glass,Bridlington,East Riding of Yorkshire,YO15 2DW,01262 677677,,Medium,UK-000231
Yorkshire & Humber,Vape Shop,Medium,Totally Wicked,Brighouse,West Yorkshire,HD6 1JR,01484 769431,,Medium,WY-0032
Yorkshire & Humber,Vape Shop,Medium,Vape Road,Brighouse,West Yorkshire,HD6 1AQ,01484 917785,,Medium,WY-0175
Yorkshire & Humber,Vape Shop,Medium,Zesty Vape,Brighouse,West Yorkshire,HD6 1AQ,01484 722183,,Medium,WY-0191
Yorkshire & Humber,Vape Shop,High,WOW Vape (Castleford),Castleford,West Yorkshire,WF10 1BA,01977 516062,https://wow-vape.co.uk,Medium,WY-0039
Yorkshire & Humber,Vape Shop,Medium,Vaping Cloud,Cleethorpes,Lincolnshire,DN35 0PX,01472 488770,,Low,UK-000293
Yorkshire & Humber,Vape Shop,High,VAPEx Doncaster,Doncaster,South Yorkshire,DN1 2BY,01302 315051,https://vapexstores.co.uk/dn1,Medium,UK-000216
Yorkshire & Humber,Vape Shop,Medium,Totally Wicked,Halifax,West Yorkshire,HX1 1TA,01422 320223,https://www.totallywicked-eliquid.co.uk/stores/halifax-e-cigs-e-liquid-shop,Medium,WY-0033
Yorkshire & Humber,Vape Shop,Medium,Vapestation,Halifax,West Yorkshire,HX1 1QE,01422 365557,,Medium,WY-0181
Yorkshire & Humber,Vape Shop,Medium,VapourWave Harrogate,Harrogate,North Yorkshire,HG1 5AZ,01423 601806,https://www.vapour-wave.co.uk/,Medium,UK-000294
Yorkshire & Humber,Vape Shop,High,iVape Harrogate,Harrogate,North Yorkshire,HG1 1QQ,01423 509009,https://ivapestore.co.uk/stores/ivape-harrogate,Medium,UK-000230
Yorkshire & Humber,Vape Shop,Medium,Ecig N Vape,Heckmondwike,West Yorkshire,WF16 0EU,01924 402342,,Medium,WY-0082
Yorkshire & Humber,Vape Shop,Medium,VAPE (Heckmondwike),Heckmondwike,West Yorkshire,WF16 0JG,01924 650140,,Medium,WY-0171
Yorkshire & Humber,Vape Shop,Medium,Vape Suite,Huddersfield,West Yorkshire,HD1 2QD,01484 312366,,Medium,WY-0177
Yorkshire & Humber,Vape Shop,High,Vape Shack Immingham,Immingham,Lincolnshire,,01469 577493,,Low,UK-000221
Yorkshire & Humber,Vape Shop,High,Vapour Worx Knaresborough,Knaresborough,North Yorkshire,HG5 0HB,01423 610083,https://vapeshopguy.co.uk/,Medium,UK-000225
Yorkshire & Humber,Vape Shop,Low,Vaporized Meanwood,Leeds,West Yorkshire,LS6 4HY,0113 274 8997,,Low,WY-0183
Yorkshire & Humber,Vape Shop,Medium,Ryedale Vapour,Malton,North Yorkshire,YO17 7AA,01653 228160,,Low,UK-000273
Yorkshire & Humber,Vape Shop,Medium,Vape with Us Northallerton,Northallerton,North Yorkshire,DL7 8JZ,01609 772799,,Medium,UK-000292
Yorkshire & Humber,Vape Shop,Medium,Mister Motivaper,Pontefract,West Yorkshire,,01274 987430,,Low,WY-0121
Yorkshire & Humber,Vape Shop,Medium,Angel Smoke e-Cigarettes,Rotherham,South Yorkshire,S62 6EU,01709 322634,https://angelsmoke.co.uk,Medium,UK-000236
Yorkshire & Humber,Vape Shop,Medium,SMKD Rotherham,Rotherham,South Yorkshire,S65 1AL,01274 270303,https://smkd.com/,Medium,UK-000212
Yorkshire & Humber,Vape Shop,Medium,The Little Shop of Vapes,Scarborough,North Yorkshire,YO11 1SL,01723 449978,,Medium,UK-000282
