Priority,Business Name,Category,Town,Region,Email,Other Emails,Phone,Website,Record ID
High,888 Vapour Peterborough,Vape Shop,Peterborough,East of England,hello@888vapour.com,,01733 847762,https://888vapour.com,UK-001675
High,888 Vapour Wisbech,Vape Shop,Wisbech,East of England,hello@888vapour.com,,01945 467460,https://888vapour.com,UK-001676
High,A Vapers Lyfe Ltd,Vape Shop,Rushden,East Midlands,avaperslyfe@gmail.com,,01933 778140,https://a-vapers-lyfe-ltd.business.site/,UK-001523
High,Ace of Vapes Wirral,Vape Shop,Wallasey,North West,aceofvapeswirral@gmail.com,,0151 638 5076,https://www.aceofvapeswirral.co.uk/,UK-000753
High,Azeem's Vape Shop,Vape Shop,Keighley,Yorkshire & Humber,info@azeemsvapeshop.co.uk,,01535 213920,https://azeemsvapeshop.co.uk/,WY-0053
High,CCR Vapebar Aberystwyth,Vape Shop,Aberystwyth,Wales,ccrvape@outlook.com,,01970 629470,https://www.ccrvape.co.uk/,UK-002647
High,Chester Vapes Ltd,Vape Shop,Chester-le-Street,North East,info@chestervapes.com,,07749 024040,https://chestervapes.com/,UK-001153
High,Coolhands,Vape Shop,Houghton-le-Spring,North East,info@coolhands-ecigs.uk,,07792 242762,http://www.coolhands-ecigs.uk/,UK-001010
High,Ecigwizard Bury St Edmunds,Vape Shop,Bury St Edmunds,East of England,ecwburystedmunds@gmail.com,,01284 761800,https://www.ecigwizard.com/pages/ecigwizard-bury-st-edmunds,UK-001708
High,Ecigwizard Ipswich,Vape Shop,Ipswich,East of England,ipswich@ecigwizard.com,,01473 794425,https://www.ecigwizard.com/,UK-001710
High,Ecigwizard Melton Mowbray,Vape Shop,Melton Mowbray,East Midlands,melton@ecigwizard.com,,01664 494940,https://www.ecigwizard.com/pages/ecigwizard-melton-mowbray,UK-001418
High,Freshmist Bury Road,Vape Shop,Bolton,North West,orders@freshmist.co.uk,orders@freshmist.co.uk,01204 288030,https://www.freshmist.co.uk/,UK-000303
High,Freshmist Chorley Old Road,Vape Shop,Bolton,North West,orders@freshmist.co.uk,orders@freshmist.co.uk,01204 288030,https://www.freshmist.co.uk/,UK-000304
High,Freshmist Farnworth,Vape Shop,Bolton,North West,orders@freshmist.co.uk,orders@freshmist.co.uk,01204 288030,https://www.freshmist.co.uk/,UK-000305
High,Freshmist Horwich,Vape Shop,Bolton,North West,orders@freshmist.co.uk,orders@freshmist.co.uk,01204 288030,https://www.freshmist.co.uk/,UK-000306
High,KPM Vapes,Vape Shop,Huddersfield,Yorkshire & Humber,kpmvapes@outlook.com,,07463 530406,,WY-0015
High,Leamington Vapes,Vape Shop,Leamington Spa,West Midlands,leamingtonvapes@gmail.com,,01926 888555,https://leamingtonvapes.co.uk/,UK-001329
High,New Age Vapes,Vape Shop,Welwyn Garden City,East of England,orders@newagevapes.co.uk,,07598 389030,,UK-001998
High,Paradox Vaping,Vape Shop,Bournemouth,South West,team@paradoxvaping.co.uk,,01202 612310,https://www.paradoxvaping.co.uk/,UK-002013
High,Planetvape,Vape Shop,Wrexham,Wales,hello@myplanetvape.com,,01978 799760,https://www.myplanetvape.com/,UK-002539
High,Prime Vapour East Kilbride,Vape Shop,East Kilbride,Scotland,info@primevapour.co.uk,,01355 458188,https://primevapour.co.uk/,UK-002544
