Parent Company,Locations in DB,Type,Categories,Regions,Sample Towns,Entry Email,Entry Phone,Website
VPZ,66,National Chain,Vape Shop,East of England; North East; North West; Scotland; South East; Wales; West Midlands,Aberdeen; Arbroath; Ashington; Aylesbury; Ayr; Barry…,,01946 693376,http://vapeshop-nearme.com/listing/vpz-aberdeen-george-street/
Premier (Booker),59,Franchise / Symbol Group,Convenience Store,East Midlands; North East; North West; Scotland; South East; South West; Wales; West Midlands; Yorkshire & Humber,Ashby-de-la-Zouch; Barnsley; Bath; Berwick-upon-Tweed; Birkenhead; Bournemouth…,,024 7711 8597,https://www.premier-stores.co.uk/our-stores/123-convenience-store
Londis,33,Franchise / Symbol Group,Convenience Store; Petrol Station / Forecourt,East Midlands; East of England; London; North East; North West; Scotland; South East; South West; Wales; West Midlands,Almondsbury; Bourne; Bramhall; Bridgend; Bristol; Bulwell…,,07365 295052,https://www.londis.co.uk/our-stores/bp-almondsbury-service-station
Totally Wicked,30,National Chain,Vape Shop,East Midlands; East of England; North East; Scotland; South East; South West; Wales; West Midlands; Yorkshire & Humber,Ashford; Ayr; Banbury; Barry; Bishop Auckland; Brighouse…,,01484 769431,https://www.totallywicked-eliquid.co.uk/stores/gloucester-ecig-shop-severn-vape
SPAR,27,Franchise / Symbol Group,Convenience Store; Newsagent,East Midlands; North East; North West; Scotland; West Midlands; Yorkshire & Humber,Accrington; Ashington; Barnsley; Billingham; Blyth; Bulkington…,,01642 553734,https://www.spar.co.uk/store-locator/afb24433-spar-adams---sons-oakham
Evapo,25,National Chain,Vape Shop,East Midlands; East of England; London; South East; South West; Wales; West Midlands,Ashford; Basildon; Bedford; Bracknell; Bristol; Camberley…,,07766 581694,https://evapo.co.uk/vape-shops/bristol
Nisa,24,Franchise / Symbol Group,Convenience Store; Independent Supermarket; Off-Licence,East Midlands; East of England; North East; North West; Wales; West Midlands; Yorkshire & Humber,Aberdare; Barry; Basildon; Bedford; Cambridge; Clacton-on-Sea…,,01279 414825,https://www.nisalocally.co.uk/stores/warwickshire/leamington-spa/36-the-parade
Evapo Ltd,23,National Chain,Vape Shop,East of England; South East; South West; West Midlands,Basingstoke; Bournemouth; Brighton; Crawley; Eastbourne; Eastleigh…,,07355 697594,https://evapo.co.uk/vape-shops/salisbury
Bargain Booze (Bestway Retail),19,Franchise / Symbol Group,Off-Licence,East Midlands; North West; West Midlands,Burton Latimer; Buxton; Derby; Glossop; Hereford; Lincoln…,,01298 24770,https://branches.bargainbooze.co.uk/southport/597-599-lord-street.html
Ecigwizard,15,National Chain,Vape Shop,East Midlands; East of England; North East; South East; South West; West Midlands,Banbury; Beeston; Bristol; Bury St Edmunds; Cambridge; Cirencester…,ecwburystedmunds@gmail.com,0117 992 7967,https://www.ecigwizard.com/pages/ecigwizard-bristol
Premier (Booker Group),14,Franchise / Symbol Group,Convenience Store; Petrol Station / Forecourt,East of England; North West; South East; Yorkshire & Humber,Gosport; Great Yarmouth; Ipswich; King's Lynn; Leigh; Norwich…,,01603 429553,https://www.premier-stores.co.uk/our-stores/ab-convenience
The E-Cig Store,13,Regional Chain,Vape Shop,East Midlands; North West; Wales; West Midlands,Altrincham; Bulwell; Crewe; Flint; Mansfield; Mold…,,07858 736517,https://theecig.co.uk/
VapeHQ,13,Regional Chain,Vape Shop,East Midlands,Alfreton; Chesterfield; Grantham; Hucknall; Lincoln; Loughborough…,,01509 505499,https://vapehq.co.uk/pages/vapehq-lincoln
