Priority,Business Name,Category,Town,County,Region,Mobile,WhatsApp Link,Website,Data Confidence,Notes,Record ID
High,"420 Vape Shop (Town Street, Stanningley)",Vape Shop,Pudsey,West Yorkshire,Yorkshire & Humber,07551 009824,https://wa.me/447551009824,https://420vapeshop.co.uk/,Medium,"One of 3 stores of the 420 Vape Shop chain (see Tong Street record for company-level notes). Hours: Mon-Fri 10:00-18:30, Sat 10:30-17:00, Sun closed. Store deta",WY-0004
High,Ape Vapes Ryde,Vape Shop,Ryde,Isle of Wight,South East,07539 886297,https://wa.me/447539886297,https://apevapes.co.uk/,Medium,Isle of Wight vape retailer with Newport and Ryde branches.,UK-002161
High,Capital Clouds,Vape Shop,Worthing,West Sussex,South East,07725 842140,https://wa.me/447725842140,https://capitalclouds.co.uk/,Medium,"Independent vape retailer in Worthing with a second store at 124 Western Road, Hove (BN3 1DB).",UK-002168
High,Chameleon Vapes,Vape Shop,Wrexham,Wrexham,Wales,07943 609219,https://wa.me/447943609219,,Medium,"Described as Wrexham's premier vape shop. Second location at Unit 2 Borras Park Road, Wrexham LL12 7TG.",UK-002488
High,Chester Vapes Ltd,Vape Shop,Chester-le-Street,County Durham,North East,07749 024040,https://wa.me/447749024040,https://chestervapes.com/,Medium,Generic email info@chestervapes.com seen in search results.,UK-001153
High,Coolhands,Vape Shop,Houghton-le-Spring,Tyne and Wear,North East,07792 242762,https://wa.me/447792242762,http://www.coolhands-ecigs.uk/,Medium,"Independent e-cigarette / e-juice vendor, Imperial Buildings, Houghton-le-Spring. Email published on directory listing. A second phone (07539 260685) also liste",UK-001010
High,Evapo Chatham,Vape Shop,Chatham,Kent,South East,07425 456904,https://wa.me/447425456904,https://evapo.co.uk/vape-shops/chatham,Medium,Branch of Evapo chain. On High Street near Primark. NCSCT-trained staff.,UK-002176
High,Evapo Dartford,Vape Shop,Dartford,Kent,South East,07393 140834,https://wa.me/447393140834,https://evapo.co.uk/vape-shops/dartford,Medium,Branch of Evapo chain in Orchards Shopping Centre. In-store flavour bars.,UK-002177
High,Evapo Maidstone,Vape Shop,Maidstone,Kent,South East,07387 140543,https://wa.me/447387140543,https://evapo.co.uk/vape-shops/maidstone,Medium,Branch of Evapo national/regional vape chain. On High Street opposite Metro Bank.,UK-002178
High,Evapo Plymouth,Vape Shop,Plymouth,Devon,South West,07585 371706,https://wa.me/447585371706,https://evapo.co.uk/vape-shops/plymouth,Medium,National Evapo chain store located opposite M&S near Drakes Circus.,UK-001728
High,Evapo Truro,Vape Shop,Truro,Cornwall,South West,07833 947065,https://wa.me/447833947065,https://evapo.co.uk/vape-shops/truro,Medium,Opposite Burger King and Warrens Bakery; 800+ products in store.,UK-001730
High,Evapo Vape Shop Camberley,Vape Shop,Camberley,Surrey,South East,07301 152280,https://wa.me/447301152280,https://evapo.co.uk/vape-shops/camberley,Medium,,UK-002182
